Northeast, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
196812,45.0,-0.5
196912,45.4,-0.1
197012,45.3,-0.2
197112,45.5,0.0
197212,44.4,-1.1
197312,47.4,1.9
197412,45.4,-0.1
197512,46.4,0.9
197612,44.6,-0.9
197712,45.6,0.1
197812,44.1,-1.4
197912,45.8,0.3
198012,44.9,-0.6
198112,45.8,0.3
198212,45.4,-0.1
198312,46.6,1.1
198412,46.2,0.7
198512,45.8,0.3
198612,46.0,0.5
198712,46.5,1.0
198812,45.8,0.3
198912,44.9,-0.6
199012,48.2,2.7
199112,47.9,2.4
199212,45.0,-0.5
199312,45.5,0.0
199412,45.7,0.2
199512,46.2,0.7
199612,45.6,0.1
199712,45.5,0.0
199812,49.1,3.6
199912,48.1,2.6
200012,46.0,0.5
200112,47.7,2.2
200212,47.7,2.2
200312,45.6,0.1
200412,46.3,0.8
200512,47.1,1.6
200612,48.7,3.2
200712,46.7,1.2
200812,46.8,1.3
200912,46.1,0.6
201012,48.5,3.0
201112,48.2,2.7
201212,49.6,4.1
201312,46.9,1.4
201412,45.7,0.2
201512,46.9,1.4
201612,48.6,3.1
201712,48.0,2.5
