Northeast, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
196812,39.59,-2.45
196912,43.13,1.09
197012,40.90,-1.14
197112,40.97,-1.07
197212,51.99,9.95
197312,48.15,6.11
197412,43.22,1.18
197512,48.30,6.26
197612,45.84,3.80
197712,48.46,6.42
197812,40.58,-1.46
197912,48.73,6.69
198012,36.80,-5.24
198112,42.38,0.34
198212,38.85,-3.19
198312,50.96,8.92
198412,45.13,3.09
198512,39.30,-2.74
198612,43.88,1.84
198712,40.38,-1.66
198812,37.52,-4.52
198912,45.25,3.21
199012,50.49,8.45
199112,39.23,-2.81
199212,41.27,-0.77
199312,43.64,1.60
199412,44.71,2.67
199512,39.45,-2.59
199612,54.40,12.36
199712,39.85,-2.19
199812,43.29,1.25
199912,42.74,0.70
200012,44.81,2.77
200112,34.15,-7.89
200212,43.65,1.61
200312,50.99,8.95
200412,46.35,4.31
200512,50.23,8.19
200612,50.17,8.13
200712,45.01,2.97
200812,50.47,8.43
200912,46.34,4.30
201012,45.34,3.30
201112,56.67,14.63
201212,42.67,0.63
201312,44.34,2.30
201412,45.36,3.32
201512,42.48,0.44
201612,39.31,-2.73
201712,46.27,4.23
