Ohio Valley, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
196812,52.4,-1.0
196912,52.1,-1.3
197012,53.0,-0.4
197112,53.6,0.2
197212,52.5,-0.9
197312,54.5,1.1
197412,53.4,0.0
197512,53.8,0.4
197612,51.9,-1.5
197712,53.2,-0.2
197812,51.4,-2.0
197912,51.4,-2.0
198012,52.9,-0.5
198112,52.9,-0.5
198212,52.9,-0.5
198312,53.3,-0.1
198412,53.3,-0.1
198512,52.7,-0.7
198612,54.6,1.2
198712,55.0,1.6
198812,53.2,-0.2
198912,52.2,-1.2
199012,55.3,1.9
199112,55.4,2.0
199212,53.2,-0.2
199312,52.7,-0.7
199412,53.5,0.1
199512,53.3,-0.1
199612,52.1,-1.3
199712,52.6,-0.8
199812,56.4,3.0
199912,55.2,1.8
200012,53.8,0.4
200112,54.8,1.4
200212,54.8,1.4
200312,53.3,-0.1
200412,54.2,0.8
200512,54.9,1.5
200612,55.3,1.9
200712,55.3,1.9
200812,53.0,-0.4
200912,53.2,-0.2
201012,54.2,0.8
201112,54.9,1.5
201212,56.9,3.5
201312,53.0,-0.4
201412,51.9,-1.5
201512,54.6,1.2
201612,56.2,2.8
201712,56.0,2.6
