Ohio Valley, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
196812,40.61,-1.62
196912,42.29,0.06
197012,43.22,0.99
197112,38.31,-3.92
197212,47.28,5.05
197312,51.72,9.49
197412,46.40,4.17
197512,47.57,5.34
197612,35.18,-7.05
197712,44.79,2.56
197812,42.61,0.38
197912,48.76,6.53
198012,36.43,-5.80
198112,42.80,0.57
198212,47.98,5.75
198312,44.01,1.78
198412,45.54,3.31
198512,45.73,3.50
198612,41.17,-1.06
198712,37.48,-4.75
198812,36.00,-6.23
198912,44.72,2.49
199012,52.73,10.50
199112,41.21,-1.02
199212,41.41,-0.82
199312,48.92,6.69
199412,43.38,1.15
199512,42.87,0.64
199612,48.80,6.57
199712,42.30,0.07
199812,47.67,5.44
199912,37.51,-4.72
200012,41.07,-1.16
200112,43.44,1.21
200212,44.96,2.73
200312,47.73,5.50
200412,48.11,5.88
200512,38.50,-3.73
200612,44.51,2.28
200712,39.82,-2.41
200812,49.78,7.55
200912,50.00,7.77
201012,42.36,0.13
201112,53.70,11.47
201212,36.81,-5.42
201312,48.36,6.13
201412,43.27,1.04
201512,52.02,9.79
201612,42.46,0.23
201712,45.30,3.07
