Southeast, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
196812,60.9,-1.6
196912,61.0,-1.5
197012,62.0,-0.5
197112,62.5,0.0
197212,62.4,-0.1
197312,62.7,0.2
197412,63.0,0.5
197512,63.0,0.5
197612,60.9,-1.6
197712,62.1,-0.4
197812,61.6,-0.9
197912,61.5,-1.0
198012,62.1,-0.4
198112,61.4,-1.1
198212,62.9,0.4
198312,61.4,-1.1
198412,62.5,0.0
198512,62.9,0.4
198612,63.8,1.3
198712,62.5,0.0
198812,61.6,-0.9
198912,62.4,-0.1
199012,64.8,2.3
199112,63.9,1.4
199212,62.1,-0.4
199312,62.4,-0.1
199412,63.0,0.5
199512,62.7,0.2
199612,61.8,-0.7
199712,62.4,-0.1
199812,64.8,2.3
199912,63.6,1.1
200012,62.7,0.2
200112,63.1,0.6
200212,63.7,1.2
200312,62.6,0.1
200412,63.2,0.7
200512,63.2,0.7
200612,63.8,1.3
200712,64.2,1.7
200812,62.9,0.4
200912,62.8,0.3
201012,62.4,-0.1
201112,64.0,1.5
201212,64.6,2.1
201312,62.8,0.3
201412,62.2,-0.3
201512,64.6,2.1
201612,64.8,2.3
201712,64.9,2.4
