Southeast, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
196812,43.82,-6.52
196912,51.32,0.98
197012,47.65,-2.69
197112,54.66,4.32
197212,53.02,2.68
197312,56.34,6.00
197412,50.76,0.42
197512,60.26,9.92
197612,50.81,0.47
197712,48.37,-1.97
197812,47.09,-3.25
197912,59.26,8.92
198012,47.30,-3.04
198112,41.95,-8.39
198212,54.68,4.34
198312,58.11,7.77
198412,48.80,-1.54
198512,48.59,-1.75
198612,43.46,-6.88
198712,47.91,-2.43
198812,44.40,-5.94
198912,56.14,5.80
199012,47.45,-2.89
199112,54.64,4.30
199212,54.88,4.54
199312,47.18,-3.16
199412,57.07,6.73
199512,53.86,3.52
199612,53.57,3.23
199712,53.77,3.43
199812,54.15,3.81
199912,46.67,-3.67
200012,41.72,-8.62
200112,44.51,-5.83
200212,51.04,0.70
200312,60.17,9.83
200412,52.88,2.54
200512,51.99,1.65
200612,44.53,-5.81
200712,37.83,-12.51
200812,48.05,-2.29
200912,58.17,7.83
201012,44.96,-5.38
201112,45.28,-5.06
201212,47.32,-3.02
201312,58.74,8.40
201412,51.95,1.61
201512,56.34,6.00
201612,46.97,-3.37
201712,52.09,1.75
