Upper Midwest, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
196812,43.4,0.4
196912,42.3,-0.7
197012,42.5,-0.5
197112,42.9,-0.1
197212,40.8,-2.2
197312,44.9,1.9
197412,43.0,0.0
197512,43.3,0.3
197612,42.7,-0.3
197712,43.8,0.8
197812,41.6,-1.4
197912,41.1,-1.9
198012,43.1,0.1
198112,44.5,1.5
198212,42.1,-0.9
198312,44.0,1.0
198412,43.8,0.8
198512,42.0,-1.0
198612,44.1,1.1
198712,47.2,4.2
198812,44.2,1.2
198912,42.0,-1.0
199012,45.2,2.2
199112,44.6,1.6
199212,43.4,0.4
199312,42.0,-1.0
199412,43.5,0.5
199512,43.3,0.3
199612,41.1,-1.9
199712,43.2,0.2
199812,47.5,4.5
199912,46.0,3.0
200012,44.5,1.5
200112,45.7,2.7
200212,45.0,2.0
200312,43.9,0.9
200412,44.1,1.1
200512,45.6,2.6
200612,46.7,3.7
200712,45.2,2.2
200812,42.4,-0.6
200912,42.9,-0.1
201012,45.6,2.6
201112,44.7,1.7
201212,47.9,4.9
201312,42.6,-0.4
201412,41.2,-1.8
201512,45.4,2.4
201612,46.9,3.9
201712,45.6,2.6
