Upper Midwest, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
196812,34.67,4.99
196912,29.51,-0.17
197012,31.08,1.40
197112,30.11,0.43
197212,33.11,3.43
197312,34.18,4.50
197412,28.65,-1.03
197512,31.40,1.72
197612,21.48,-8.20
197712,35.03,5.35
197812,30.96,1.28
197912,31.50,1.82
198012,28.30,-1.38
198112,30.51,0.83
198212,34.93,5.25
198312,33.32,3.64
198412,32.42,2.74
198512,34.10,4.42
198612,34.92,5.24
198712,27.81,-1.87
198812,25.17,-4.51
198912,24.57,-5.11
199012,33.53,3.85
199112,35.57,5.89
199212,30.87,1.19
199312,36.26,6.58
199412,30.06,0.38
199512,31.40,1.72
199612,31.64,1.96
199712,27.88,-1.80
199812,32.18,2.50
199912,31.42,1.74
200012,30.90,1.22
200112,33.08,3.40
200212,30.76,1.08
200312,26.95,-2.73
200412,33.47,3.79
200512,30.16,0.48
200612,29.51,-0.17
200712,33.43,3.75
200812,34.15,4.47
200912,31.67,1.99
201012,36.54,6.86
201112,30.32,0.64
201212,27.72,-1.96
201312,33.98,4.30
201412,34.73,5.05
201512,34.29,4.61
201612,36.39,6.71
201712,33.67,3.99
