ReleaseDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20180220,CONUS,40.71,59.29,36.48,17.76,3.22,0,2/20/2018,2/26/2018,1
20180213,CONUS,39.5,60.5,36.34,18.04,2.96,0,2/13/2018,2/19/2018,1
20180206,CONUS,33.05,66.95,39.64,18.44,2.6,0,2/6/2018,2/12/2018,1
20180130,CONUS,32.9,67.1,38.42,17.21,1.72,0,1/30/2018,2/5/2018,1
20180123,CONUS,37.55,62.45,35.39,13.6,0.9,0,1/23/2018,1/29/2018,1
20180116,CONUS,39.07,60.93,33.04,10.03,0.64,0,1/16/2018,1/22/2018,1
20180109,CONUS,42.2,57.8,32.07,8.7,0.46,0,1/9/2018,1/15/2018,1
20180102,CONUS,44.46,55.54,27.7,7.46,0.83,0,1/2/2018,1/8/2018,1
20171226,CONUS,45.31,54.69,26.37,4.95,0.83,0,12/26/2017,1/1/2018,1
20171219,CONUS,43.26,56.74,26.17,6.97,1.28,0,12/19/2017,12/25/2017,1
20171212,CONUS,45.09,54.91,23.85,6.49,1.78,0,12/12/2017,12/18/2017,1
20171205,CONUS,52.38,47.62,24.3,5.99,1.23,0,12/5/2017,12/11/2017,1
20171128,CONUS,57.34,42.66,21.14,4.88,1.03,0,11/28/2017,12/4/2017,1
20171121,CONUS,63.18,36.82,15.4,4.14,0.75,0,11/21/2017,11/27/2017,1
20171114,CONUS,64.97,35.03,13.06,3.52,0.75,0,11/14/2017,11/20/2017,1
20171107,CONUS,67.19,32.81,11.96,2.9,0.75,0,11/7/2017,11/13/2017,1
20171031,CONUS,66.47,33.53,11.95,2.67,0.88,0,10/31/2017,11/6/2017,1
20171024,CONUS,63.64,36.36,11.96,2.58,0.88,0,10/24/2017,10/30/2017,1
20171017,CONUS,62.25,37.75,12.48,2.98,0.82,0,10/17/2017,10/23/2017,1
20171010,CONUS,61.93,38.07,14.12,4.03,1.06,0.27,10/10/2017,10/16/2017,1
20171003,CONUS,61.15,38.85,14.36,4.73,1.39,0.5,10/3/2017,10/9/2017,1
20170926,CONUS,63.07,36.93,13.81,4.99,2.36,0.87,9/26/2017,10/2/2017,1
20170919,CONUS,63.14,36.86,15.51,5.6,2.38,0.87,9/19/2017,9/25/2017,1
20170912,CONUS,66.26,33.74,16.08,6.24,3.13,1.28,9/12/2017,9/18/2017,1
20170905,CONUS,69.91,30.09,13.54,5.93,2.82,1.28,9/5/2017,9/11/2017,1
20170829,CONUS,71.43,28.57,11.82,5.74,2.65,1.21,8/29/2017,9/4/2017,1
20170822,CONUS,72.57,27.43,12.08,5.49,2.43,0.59,8/22/2017,8/28/2017,1
20170815,CONUS,71.95,28.05,11.31,5.33,2.45,0.7,8/15/2017,8/21/2017,1
20170808,CONUS,70.23,29.77,11.24,5.38,2.37,0.76,8/8/2017,8/14/2017,1
20170801,CONUS,69.48,30.52,11.77,5.23,2.6,0.76,8/1/2017,8/7/2017,1
20170725,CONUS,67.31,32.69,10.98,5.18,2.62,0.76,7/25/2017,7/31/2017,1
20170718,CONUS,70.67,29.33,10.58,4.77,2.31,0.22,7/18/2017,7/24/2017,1
20170711,CONUS,76.9,23.1,9.6,4.31,2.19,0,7/11/2017,7/17/2017,1
20170704,CONUS,77.65,22.35,8.45,3.83,1.43,0,7/4/2017,7/10/2017,1
20170627,CONUS,78.4,21.6,8.04,3.26,0.97,0,6/27/2017,7/3/2017,1
20170620,CONUS,80.5,19.5,6.99,2.13,0.55,0,6/20/2017,6/26/2017,1
20170613,CONUS,79.99,20.01,7.27,1.57,0,0,6/13/2017,6/19/2017,1
20170606,CONUS,83.04,16.96,7.8,1.25,0,0,6/6/2017,6/12/2017,1
20170530,CONUS,81.69,18.31,5.28,1.12,0.28,0,5/30/2017,6/5/2017,1
20170523,CONUS,85.73,14.27,4.52,1.22,0.41,0,5/23/2017,5/29/2017,1
20170516,CONUS,83.42,16.58,5.61,1.38,0.43,0,5/16/2017,5/22/2017,1
20170509,CONUS,84.89,15.11,5.23,1.3,0.28,0,5/9/2017,5/15/2017,1
20170502,CONUS,85.69,14.31,4.98,1.3,0.13,0,5/2/2017,5/8/2017,1
20170425,CONUS,78.33,21.67,6.11,1.07,0.03,0,4/25/2017,5/1/2017,1
20170418,CONUS,73.04,26.96,8.2,1.44,0.09,0,4/18/2017,4/24/2017,1
20170411,CONUS,73.01,26.99,8.17,1.44,0.09,0,4/11/2017,4/17/2017,1
20170404,CONUS,70.27,29.73,9.83,1.5,0.1,0,4/4/2017,4/10/2017,1
20170328,CONUS,64.41,35.59,14.2,2.82,0.21,0,3/28/2017,4/3/2017,1
20170321,CONUS,63.78,36.22,15.97,3.74,0.43,0,3/21/2017,3/27/2017,1
20170314,CONUS,68.14,31.86,15.21,3.95,0.49,0,3/14/2017,3/20/2017,1
20170307,CONUS,67.22,32.78,14.94,4,0.53,0,3/7/2017,3/13/2017,1
20170228,CONUS,66.28,33.72,14.08,3.68,0.49,0,2/28/2017,3/6/2017,1
20170221,CONUS,68.47,31.53,13.78,3.31,0.34,0,2/21/2017,2/27/2017,1
20170214,CONUS,68.26,31.74,13.54,3.17,0.35,0,2/14/2017,2/20/2017,1
20170207,CONUS,68.99,31.01,14.27,3.4,0.34,0,2/7/2017,2/13/2017,1
20170131,CONUS,68.02,31.98,14.55,3.83,0.41,0,1/31/2017,2/6/2017,1
20170124,CONUS,67.19,32.81,16.12,4.45,0.44,0,1/24/2017,1/30/2017,1
20170117,CONUS,60.5,39.5,19.26,6.77,2.39,0.11,1/17/2017,1/23/2017,1
20170110,CONUS,58.34,41.66,20.83,7.96,2.61,0.11,1/10/2017,1/16/2017,1
20170103,CONUS,53.89,46.11,22.53,8.63,3.15,0.96,1/3/2017,1/9/2017,1
20161227,CONUS,49.19,50.81,24.04,10.09,4.53,1.81,12/27/2016,1/2/2017,1
20161220,CONUS,45.19,54.81,28.16,10.6,4.58,1.89,12/20/2016,12/26/2016,1
20161213,CONUS,45.78,54.22,29.82,12.89,5.02,1.99,12/13/2016,12/19/2016,1
20161206,CONUS,45.17,54.83,30.39,13.97,5.3,1.99,12/6/2016,12/12/2016,1
20161129,CONUS,43.69,56.31,31.46,16.6,8.66,2.68,11/29/2016,12/5/2016,1
20161122,CONUS,45,55,31.14,17.07,8.26,2.73,11/22/2016,11/28/2016,1
20161115,CONUS,48.01,51.99,30.13,14.44,6.4,2.36,11/15/2016,11/21/2016,1
20161108,CONUS,51.09,48.91,27.36,11.38,4.96,1.91,11/8/2016,11/14/2016,1
20161101,CONUS,52.28,47.72,26.8,10.95,4.86,1.71,11/1/2016,11/7/2016,1
20161025,CONUS,55.68,44.32,23.92,10.25,4.08,1.54,10/25/2016,10/31/2016,1
20161018,CONUS,55.61,44.39,22.1,9.66,3.87,1.31,10/18/2016,10/24/2016,1
20161011,CONUS,55.39,44.61,20.13,8.68,3.45,1.26,10/11/2016,10/17/2016,1
