Region, State, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016
Alaska,Alaska,575070.7,331958.1,291152.8,122260.5,233066.0,62508.6,124727.0,181115.2,133035.1,167450.8,221434.9,144357.7,154904.0,143501.5,89378.1,47267.3,54253.3,58576.9,89354.9,246331.2
Intermountain,California,359.0,858.3,611.0,231.3,251.8,1763.8,40292.2,41600.1,4265.2,3897.4,490.4,5145.4,5721.0,4175.9,2849.9,3843.3,8702.1,13622.8,10559.4,14806.8
Intermountain,Colorado,6.8,3.4,9.8,13.6,189.2,21.3,159.6,482.6,98.5,9.7,4.8,10.8,2.8,2.5,5.0,2.5,36.4,3.5,383.7,41.1
Intermountain,Idaho,77393.1,29694.4,52326.7,44134.9,91362.6,138314.0,256164.8,563536.3,373604.9,256239.2,343893.0,470587.1,1200038.3,1001345.0,694211.8,457628.4,127094.6,116443.2,95886.5,74188.1
Intermountain,Nevada,2378.9,2387.2,17791.3,3542.7,9761.1,73845.7,425267.7,799987.2,74663.5,28529.0,14396.6,31816.4,128634.6,28503.2,21079.3,7722.3,3777.9,26937.5,8823.9,13526.9
Intermountain,Utah,224240.2,95675.2,66931.8,59234.6,141123.6,105374.4,364338.0,581502.6,335367.9,122677.9,435109.5,358332.0,271024.8,279899.2,98116.5,56938.3,100309.3,147570.0,146995.9,149323.8
Intermountain,Wyoming,65985.5,5702.0,11454.1,12099.8,14132.5,37021.0,118430.6,329794.7,258610.4,192767.0,485685.7,442111.6,559952.4,305781.5,128175.7,58202.7,44754.1,75826.8,56659.0,39692.6
Northeastern Area,Connecticut,0,0,0,0,18.4,0.2,0,484.1,42.8,135.9,0,12.9,645.6,0,66.9,0,0,135.1,452.1,7628.3
Northeastern Area,Delaware,0,0,0,0,0,334.2,0,0,0,0,63.8,0,43.7,66.7,0,292.2,54.7,21.2,25.1,16.2
Northeastern Area,Illinois,0,0,0,0,0,0,0,358.2,0,0,0,0,0,0,0,760.9,4.0,422.8,137.8,3629.3
Northeastern Area,Indiana,0,0,0,0,0,0,0,0,18.4,0,13763.3,8378.8,5439.9,15390.7,15743.9,15866.0,12323.3,16341.5,13698.9,13851.0
Northeastern Area,Iowa,0,0,0,0,0,0,0,0.9,0,0,0,6521.8,1098.2,207.3,199429.0,1250.5,1737.9,2050.3,24190.0,147629.6
Northeastern Area,Maine,0,274.3,15532.5,0,0,645761.1,26748.3,12443.2,9048.5,7120275.3,3675.0,7.2,237.7,435.7,194.0,37.2,0,444.8,369.9,2268.5
Northeastern Area,Maryland,0,0,605.8,457.0,0,0,0,0,98.2,0,0,5895.5,4521.6,681.9,9.4,18006.9,17897.3,389.4,153.3,30730.0
Northeastern Area,Massachusetts,3512.0,5310.5,1673.7,574.9,1652.9,2027.1,5793.6,860.5,160403.0,133.9,11697.4,41608.6,18081.9,6391.3,12711.1,5867.9,2537.5,5294.2,1902.4,9831.5
Northeastern Area,Michigan,18793.7,24814.5,5354.0,7695.9,64799.9,170776.0,222219.5,464401.4,451625.2,72380.9,70183.4,148330.0,30223.3,7757.3,207551.5,22073.5,21716.5,32910.6,53681.0,104336.2
Northeastern Area,Minnesota,31541.5,6080.1,26719.9,25203.3,47387.9,40996.6,36740.5,54549.6,19143.7,22507.9,19682.3,28517.7,32068.1,26026.4,146236.5,133467.4,64683.2,51000.7,86119.1,82283.0
Northeastern Area,Missouri,0,41383.3,0,22683.1,0,67163.9,206050.1,0,13988.5,23882.2,65269.7,187140.0,0,6354.9,813.5,7096.4,57292.2,38948.9,15718.4,317.1
Northeastern Area,New Hampshire,0,37354.2,1108.2,13755.1,17434.5,979.9,42081.2,163682.7,53715.9,18925.5,15265.3,15345.3,1280.4,714.9,800.4,1724.2,4119.0,18113.0,3829.1,1201.9
Northeastern Area,New Jersey,0,0,0,0,0,2032291.9,2494.0,6711.5,1978.2,0,2410.8,50828.1,1799.2,14276.1,6786.0,6254.6,7080.5,2262.4,5203.4,5534.9
Northeastern Area,New York,456.1,0.8,0,13684.6,2512.2,14067.8,11704.7,27517.4,116982.5,11888.2,149821.9,127669.6,125794.0,154773.2,69301.4,105721.8,15124.5,20243.1,19611.2,107559.7
Northeastern Area,Ohio,0,0,0,1132.4,1053.9,0,503.8,854.3,3815.0,19504.8,2705.5,2765.5,21196.2,38032.6,33219.2,16664.0,9044.7,12899.9,11134.3,7543.0
Northeastern Area,Pennsylvania,0,0,2397.8,53.1,0,0.5,59720.3,306.0,16433.7,0,0,38360.7,113019.5,31714.7,20980.3,12550.5,260938.4,0.7,12985.3,21637.6
Northeastern Area,Rhode Island,0,0,0,0,0,0,15.8,33.1,0,12.6,852.8,0,222.4,3127.2,0,0,96.2,86.4,0,332.2
Northeastern Area,Vermont,2303.9,78656.8,1160.4,905.0,1345.5,7144.7,16329.3,28407.7,35105.6,9460.0,46610.8,4089.4,23334.5,10852.1,7074.7,6295.4,15634.2,5949.3,7179.5,6136.4
Northeastern Area,West Virginia,868986.2,0,0,295935.2,0,11632.0,71284.7,484.7,48.0,75.3,0,331.9,8410.1,0,0,304.4,0,21807.3,530448.8,18542.7
Northeastern Area,Wisconsin,0,299271.9,0,0,1967.5,0,12208.5,0,1770.6,718.0,2498.7,944330.0,706255.8,518.2,176455.2,92237.2,200810.4,87686.0,72323.3,505023.3
Northern,Idaho,205437.6,206352.6,307125.4,326254.6,382193.2,551336.8,442357.6,571641.7,337469.4,115383.5,110535.2,837615.3,903545.2,1062549.0,199990.0,337212.7,253706.7,269604.2,164271.7,167428.4
Northern,Montana,94856.1,186534.2,177631.8,120341.5,289348.8,422147.8,469593.8,704571.5,1124094.0,922674.6,837502.1,1831671.7,3566603.3,2093648.6,992529.7,638175.4,546046.2,618895.2,191029.5,50533.0
Northern,North Dakota,0,0,0,0,0,0,17.5,0,0,23.1,0,0,0,0,1533.2,0,0,36.0,0,4.0
Northern,South Dakota,28.4,0,0,0,408.8,0,258.8,0,199.8,147.7,85.7,247.5,22.0,0,63.7,0,109.6,22.0,0,44.0
Northern,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2868.7,3425.7
