State, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016
Alabama,0,0,0,0,0,3483.2,1386.8,2839.9,588.1,0,521.0,26.0,1.5,5.0,23.5,3.7,33.5,49.3,190.0,939.9
Alaska,575070.7,331958.1,291152.8,122260.5,233066.0,62508.6,124727.0,181115.2,133035.1,167450.8,221434.9,144357.7,154904.0,143501.5,89378.1,47267.3,54253.3,58576.9,89354.9,246331.2
Arizona,77685.9,30241.0,12771.1,16143.0,134580.8,517271.6,1705515.3,138550.4,38787.4,30416.2,21571.6,19345.8,38829.7,22800.8,5524.9,47827.9,169979.8,145352.2,40768.0,112759.8
Arkansas,0,0,0,0,0,16815.4,596.8,0,0,0,0,0,0,234.1,0,0,0,181.2,14952.1,22604.2
California,207921.3,98447.3,25919.3,60489.1,87468.5,933464.9,3016325.8,1693013.7,953495.0,402752.1,299782.0,211780.1,386231.1,708419.4,536415.8,512962.9,480115.6,883760.5,2767928.1,4304468.5
Colorado,111576.7,372720.6,259538.9,364018.2,432576.0,669738.5,1839860.5,1448347.2,1190534.5,1148322.1,1476095.2,2110136.3,1707207.8,1370690.3,1258084.1,817949.0,762298.8,741481.4,568320.2,504276.2
Connecticut,0,0,0,0,18.4,0.2,0,484.1,42.8,135.9,0,12.9,645.6,0,66.9,0,0,135.1,452.1,7628.3
Delaware,0,0,0,0,0,334.2,0,0,0,0,63.8,0,43.7,66.7,0,292.2,54.7,21.2,25.1,16.2
Florida,0,0,0,0,0,1141.3,1637.2,24929.5,0,280.5,0,211.3,36.4,4.0,2.0,310.1,187.1,35.4,61.7,1121.1
Georgia,0,18.4,0,0,0,4197.0,974.7,274.9,265.0,362.3,7443.8,63.0,438.6,1701.4,54.1,0,318.6,2090.0,81.0,1173.0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,0,55471.2,49027.2
Idaho,282830.7,236047.0,359452.1,370389.5,473555.8,689650.8,698522.4,1135178.0,711074.3,371622.7,454428.2,1308202.4,2103583.5,2063894.0,894201.8,794841.1,380801.3,386047.4,260158.2,241616.5
Illinois,0,0,0,0,0,0,0,358.2,0,0,0,0,0,0,0,760.9,4.0,422.8,137.8,3629.3
Indiana,0,0,0,0,0,0,0,0,18.4,0,13763.3,8378.8,5439.9,15390.7,15743.9,15866.0,12323.3,16341.5,13698.9,13851.0
