Location,Year,Series,Series Code,Permits
Alabama,1980,Total Units,1,15998
Alabama,1981,Total Units,1,9885
Alabama,1982,Total Units,1,8732
Alabama,1983,Total Units,1,17389
Alabama,1984,Total Units,1,15297
Alabama,1985,Total Units,1,17218
Alabama,1986,Total Units,1,19174
Alabama,1987,Total Units,1,14510
Alabama,1988,Total Units,1,12772
Alabama,1989,Total Units,1,12045
Alabama,1990,Total Units,1,12559
Alabama,1991,Total Units,1,12825
Alabama,1992,Total Units,1,15925
Alabama,1993,Total Units,1,18723
Alabama,1994,Total Units,1,19152
Alabama,1995,Total Units,1,20130
Alabama,1996,Total Units,1,19874
Alabama,1997,Total Units,1,17744
Alabama,1998,Total Units,1,20541
Alabama,1999,Total Units,1,19037
Alabama,2000,Total Units,1,17426
Alabama,2001,Total Units,1,17706
Alabama,2002,Total Units,1,18871
Alabama,2003,Total Units,1,24543
Alabama,2004,Total Units,1,27412
Alabama,2005,Total Units,1,30636
Alabama,2006,Total Units,1,32034
Alabama,2007,Total Units,1,25868
Alabama,2008,Total Units,1,17485
Alabama,2009,Total Units,1,13279
Alabama,2010,Total Units,1,11274
Alabama,2011,Total Units,1,11690
Alabama,2012,Total Units,1,13533
Alabama,2013,Total Units,1,11802
Alabama,2014,Total Units,1,13515
Alabama,2015,Total Units,1,14050
Alabama,2016,Total Units,1,14981
Alaska,1980,Total Units,1,2101
Alaska,1981,Total Units,1,4284
Alaska,1982,Total Units,1,7990
Alaska,1983,Total Units,1,11273
Alaska,1984,Total Units,1,6753
Alaska,1985,Total Units,1,4223
Alaska,1986,Total Units,1,1420
Alaska,1987,Total Units,1,765
Alaska,1988,Total Units,1,826
Alaska,1989,Total Units,1,630
Alaska,1990,Total Units,1,832
Alaska,1991,Total Units,1,1069
Alaska,1992,Total Units,1,1222
Alaska,1993,Total Units,1,1774
Alaska,1994,Total Units,1,1991
Alaska,1995,Total Units,1,2101
Alaska,1996,Total Units,1,2592
Alaska,1997,Total Units,1,2497
Alaska,1998,Total Units,1,2815
Alaska,1999,Total Units,1,2184
Alaska,2000,Total Units,1,2105
Alaska,2001,Total Units,1,2902
Alaska,2002,Total Units,1,2976
Alaska,2003,Total Units,1,3497
Alaska,2004,Total Units,1,3104
Alaska,2005,Total Units,1,2852
Alaska,2006,Total Units,1,2705
Alaska,2007,Total Units,1,1677
Alaska,2008,Total Units,1,882
Alaska,2009,Total Units,1,899
Alaska,2010,Total Units,1,891
Alaska,2011,Total Units,1,853
Alaska,2012,Total Units,1,968
Alaska,2013,Total Units,1,1089
Alaska,2014,Total Units,1,1512
Alaska,2015,Total Units,1,1303
Alaska,2016,Total Units,1,1513
Arizona,1980,Total Units,1,36889
Arizona,1981,Total Units,1,33814
Arizona,1982,Total Units,1,36991
Arizona,1983,Total Units,1,64496
Arizona,1984,Total Units,1,79239
Arizona,1985,Total Units,1,71820
Arizona,1986,Total Units,1,61614
Arizona,1987,Total Units,1,40181
Arizona,1988,Total Units,1,32878
Arizona,1989,Total Units,1,23820
Arizona,1990,Total Units,1,23031
Arizona,1991,Total Units,1,23531
Arizona,1992,Total Units,1,31810
Arizona,1993,Total Units,1,38676
Arizona,1994,Total Units,1,51832
Arizona,1995,Total Units,1,52714
Arizona,1996,Total Units,1,53715
Arizona,1997,Total Units,1,57762
Arizona,1998,Total Units,1,63930
Arizona,1999,Total Units,1,65109
Arizona,2000,Total Units,1,61485
Arizona,2001,Total Units,1,62496
Arizona,2002,Total Units,1,66031
Arizona,2003,Total Units,1,74996
Arizona,2004,Total Units,1,90644
Arizona,2005,Total Units,1,97504
Arizona,2006,Total Units,1,67881
Arizona,2007,Total Units,1,52205
Arizona,2008,Total Units,1,26082
Arizona,2009,Total Units,1,14474
Arizona,2010,Total Units,1,12370
Arizona,2011,Total Units,1,13007
Arizona,2012,Total Units,1,21726
Arizona,2013,Total Units,1,25209
Arizona,2014,Total Units,1,26997
Arizona,2015,Total Units,1,28910
Arizona,2016,Total Units,1,35578
Arkansas,1980,Total Units,1,8480
Arkansas,1981,Total Units,1,4774
Arkansas,1982,Total Units,1,6598
Arkansas,1983,Total Units,1,10408
Arkansas,1984,Total Units,1,9730
Arkansas,1985,Total Units,1,9937
Arkansas,1986,Total Units,1,8856
Arkansas,1987,Total Units,1,6619
Arkansas,1988,Total Units,1,6378
Arkansas,1989,Total Units,1,6433
Arkansas,1990,Total Units,1,6000
Arkansas,1991,Total Units,1,7011
Arkansas,1992,Total Units,1,8094
Arkansas,1993,Total Units,1,10169
Arkansas,1994,Total Units,1,12413
Arkansas,1995,Total Units,1,11747
Arkansas,1996,Total Units,1,11190
Arkansas,1997,Total Units,1,11026
Arkansas,1998,Total Units,1,10021
Arkansas,1999,Total Units,1,11502
Arkansas,2000,Total Units,1,9208
Arkansas,2001,Total Units,1,10407
Arkansas,2002,Total Units,1,12547
Arkansas,2003,Total Units,1,14966
Arkansas,2004,Total Units,1,15855
Arkansas,2005,Total Units,1,17933
Arkansas,2006,Total Units,1,13888
Arkansas,2007,Total Units,1,11034
Arkansas,2008,Total Units,1,8814
Arkansas,2009,Total Units,1,7057
Arkansas,2010,Total Units,1,7177
Arkansas,2011,Total Units,1,6952
Arkansas,2012,Total Units,1,8384
Arkansas,2013,Total Units,1,7627
Arkansas,2014,Total Units,1,7951
Arkansas,2015,Total Units,1,8497
Arkansas,2016,Total Units,1,9432
California,1980,Total Units,1,144391
California,1981,Total Units,1,104215
California,1982,Total Units,1,85123
California,1983,Total Units,1,172436
California,1984,Total Units,1,224598
California,1985,Total Units,1,271344
California,1986,Total Units,1,314623
California,1987,Total Units,1,251776
California,1988,Total Units,1,253312
California,1989,Total Units,1,237688
California,1990,Total Units,1,163175
California,1991,Total Units,1,105956
California,1992,Total Units,1,97781
California,1993,Total Units,1,84341
California,1994,Total Units,1,96982
California,1995,Total Units,1,83864
California,1996,Total Units,1,92060
California,1997,Total Units,1,109589
California,1998,Total Units,1,124035
California,1999,Total Units,1,138039
California,2000,Total Units,1,145575
California,2001,Total Units,1,146739
California,2002,Total Units,1,159573
California,2003,Total Units,1,191948
California,2004,Total Units,1,207390
California,2005,Total Units,1,205020
