STATE_ABBR,EVAL_GRP_YEAR,UNITCD,UNIT,SELECT_WHITE_OAK_GROWTH,SELECT_WHITE_OAK_MORTALITY,SELECT_WHITE_OAK_REMOVAL
AL,1972,1,101,266697,0,375788
AL,1972,2,102,4933580,0,4951213
AL,1972,3,103,4626071,308737,3101707
AL,1972,4,104,5895531,297745,2887078
AL,1972,5,105,5328727,512444,1743946
AL,1972,6,106,7796687,206704,1469666
AL,1982,1,101,735354,0,564877
AL,1982,2,102,5284767,318906,5386375
AL,1982,3,103,6156079,619825,3173958
AL,1982,4,104,5552063,506992,3397569
AL,1982,5,105,8234694,490802,5199810
AL,1982,6,106,6409487,548161,4253687
AL,1990,1,101,1123113,96208,890575
AL,1990,2,102,4260583,394359,4530157
AL,1990,3,103,7769678,475821,5620911
AL,1990,4,104,7332343,1932141,6546977
AL,1990,5,105,13911798,408836,5187961
AL,1990,6,106,10667715,462717,5967668
AL,2000,1,101,515073,78685,1557144
AL,2000,2,102,5212588,795235,4239310
AL,2000,3,103,9222632,1311098,8026874
AL,2000,4,104,7153179,808894,8540185
AL,2000,5,105,14281008,1806179,7736308
AL,2000,6,106,12884049,821939,5932926
AL,2003,1,101,493815,0,171925
AL,2003,2,102,2290214,349014,5070288
AL,2003,3,103,7752863,1389206,6843301
AL,2003,4,104,10180372,332116,5815348
AL,2003,5,105,13431480,4007925,13499002
AL,2003,6,106,9247054,2104567,8292244
AL,2004,1,101,561299,0,378932
AL,2004,2,102,4452735,367162,4105983
AL,2004,3,103,7232082,1769338,7629090
AL,2004,4,104,9163976,1114322,4928388
AL,2004,5,105,13145768,3013449,10652068
AL,2004,6,106,8923075,1764372,8797485
AL,2005,1,101,486678,0,299022
AL,2005,2,102,4491536,576260,5123792
AL,2005,3,103,7335459,1439500,7092970
AL,2005,4,104,9228994,877924,5050978
AL,2005,5,105,12596632,3864102,8933438
AL,2005,6,106,9526255,1428004,8627342
AL,2006,1,101,411240,0,246876
AL,2006,2,102,4850787,569508,5149977
AL,2006,3,103,7481717,2250231,7622511
AL,2006,4,104,8344861,815450,5730283
AL,2006,5,105,12665865,3552447,6141360
AL,2006,6,106,9646434,1406921,9739613
AL,2007,1,101,365401,0,242067
AL,2007,2,102,5334996,627399,4292808
AL,2007,3,103,6914325,2471312,8618751
AL,2007,4,104,8359698,719934,4040462
AL,2007,5,105,11818182,4731831,7937824
AL,2007,6,106,10043625,988739,9729872
AL,2008,1,101,358129,0,238200
AL,2008,2,102,3520577,2351507,3371811
AL,2008,3,103,7976673,1665378,7901033
AL,2008,4,104,7776215,1075990,3243476
AL,2008,5,105,13111406,3201630,5357011
AL,2008,6,106,10551381,992037,6529825
AL,2009,1,101,270419,92181,240506
AL,2009,2,102,3372041,2571584,3425230
AL,2009,3,103,6183194,2989507,6919012
AL,2009,4,104,7641772,1514156,2945733
AL,2009,5,105,13391984,3317116,3665260
AL,2009,6,106,11132789,386638,7820396
AL,2010,1,101,189086,177672,50546
AL,2010,2,102,2193333,2854291,5849389
AL,2010,3,103,4752552,3721742,6905368
AL,2010,4,104,8025184,982850,2526868
AL,2010,5,105,13868147,3296986,3545622
AL,2010,6,106,11163778,392949,5738458
AL,2011,1,101,188887,177948,50708
AL,2011,2,102,2110012,2825324,6098078
AL,2011,3,103,4711604,3665684,6308801
AL,2011,4,104,7540269,1458615,1796742
AL,2011,5,105,13508595,3305835,3009073
AL,2011,6,106,12559261,467280,6872965
AL,2012,1,101,325612,168264,118264
AL,2012,2,102,2302281,2375719,4774689
AL,2012,3,103,4635928,3587588,5676695
AL,2012,4,104,7421971,1458011,2445100
AL,2012,5,105,15258997,1952600,3060994
AL,2012,6,106,12421352,656680,6083710
AL,2013,1,101,344594,167479,74500
AL,2013,2,102,2149895,2613194,4851889
AL,2013,3,103,5271634,2805821,5233962
AL,2013,4,104,7281094,1590721,3309798
AL,2013,5,105,14183890,2437598,3431443
AL,2013,6,106,11882092,1482482,4365941
AL,2014,1,101,340554,184637,149926
AL,2014,2,102,2390377,2592620,4326982
AL,2014,3,103,5131067,3451760,4591683
AL,2014,4,104,7204445,1798705,3057905
AL,2014,5,105,15555189,864655,2002036
AL,2014,6,106,12164558,1448580,6309990
AL,2015,1,101,339200,184013,149418
AL,2015,2,102,3671160,1263220,5013505
AL,2015,3,103,5277422,3570150,3071920
AL,2015,4,104,7767550,1428994,4233935
AL,2015,5,105,16129686,920030,2193081
AL,2015,6,106,11348976,2069563,5337000
AL,2016,1,101,440269,82976,147453
AL,2016,2,102,3972119,940571,4967160
AL,2016,3,103,8184275,1182105,3110143
AL,2016,4,104,8342023,1410014,5292777
AL,2016,5,105,14831323,1228055,2949330
AL,2016,6,106,11259331,2539949,4256639
AL,2017,1,101,547036,0,145447
AL,2017,2,102,4302004,790972,2940293
AL,2017,3,103,9110695,863601,2327909
AL,2017,4,104,9422419,853163,5831311
AL,2017,5,105,14603650,1473219,3718029
AL,2017,6,106,11607168,2551023,4261698
AR,1978,1,501,2978536,0,1997796
AR,1978,2,502,1104392,253945,746285
AR,1978,3,503,17360735,1075626,17001646
AR,1978,4,504,5307860,512930,4240857
AR,1978,5,505,11279177,1275924,7411458
AR,1988,1,501,1834500,356484,2314395
AR,1988,2,502,1051884,318597,520491
AR,1988,3,503,17899506,1710780,16189506
AR,1988,4,504,6260513,790962,5232171
AR,1988,5,505,26218487,2791037,7420676
AR,1995,1,501,2419533,64572,506509
AR,1995,2,502,2272575,0,2189069
AR,1995,3,503,17474499,1823191,18783270
AR,1995,4,504,7476643,174710,3650586
AR,1995,5,505,24033833,1803421,8920310
AR,2005,1,501,2808514,388153,542891
AR,2005,2,502,1832110,198371,1770235
AR,2005,3,503,16670303,2513711,13886101
AR,2005,4,504,6421109,328655,4622109
AR,2005,5,505,32227117,3625173,19125496
AR,2009,1,501,2688371,250162,2280451
AR,2009,2,502,1481776,1062707,976875
AR,2009,3,503,15549222,2360557,12772205
AR,2009,4,504,11166459,2995672,5342504
AR,2009,5,505,42083294,4566709,18099221
AR,2010,1,501,3035592,283511,3407274
AR,2010,2,502,1630655,1051756,834496
AR,2010,3,503,15052772,2245543,14546697
AR,2010,4,504,11451912,2944104,4590237
AR,2010,5,505,38674677,6139885,17978994
AR,2011,1,501,3021956,276676,4176251
AR,2011,2,502,1382173,1047016,834496
AR,2011,3,503,15907152,2693925,13124999
AR,2011,4,504,12956964,1525744,2052934
AR,2011,5,505,35924248,6891060,19401113
AR,2012,1,501,2595875,905861,4114234
AR,2012,2,502,1757142,527094,37085
AR,2012,3,503,16396374,2597937,14252867
AR,2012,4,504,13523359,1623552,1147603
AR,2012,5,505,33161884,9062318,14293589
AR,2013,1,501,2561882,829970,4150041
AR,2013,2,502,1904539,518806,36514
AR,2013,3,503,15143177,2688007,11211345
AR,2013,4,504,13671062,2138232,1169916
AR,2013,5,505,31208294,11573062,14906327
AR,2014,1,501,2703641,745244,3218618
AR,2014,2,502,1524262,353950,1091776
AR,2014,3,503,14787909,2378709,12121850
AR,2014,4,504,14935385,2318178,1384880
AR,2014,5,505,20590042,18974301,13841400
AR,2015,1,501,3388340,668642,1995266
AR,2015,2,502,1680127,219375,1069827
AR,2015,3,503,13595614,2770615,8234542
AR,2015,4,504,14900563,2319583,3339085
AR,2015,5,505,19100976,21029479,11068737
AR,2016,1,501,3161150,686217,943917
AR,2016,2,502,1932037,222536,1085341
AR,2016,3,503,13500542,2478031,10573901
AR,2016,4,504,14223471,2899238,3332981
AR,2016,5,505,16605587,21550945,11041867
CT,1985,1,901,367401,1643161,2117305
CT,1998,1,901,1470551,1045948,1651178
CT,2006,1,901,3204875,208767,1817961
CT,2007,1,901,3813263,178911,1707110
CT,2008,1,901,6481422,3668205,3458090
CT,2009,1,901,4607890,2561938,2449213
CT,2010,1,901,4501026,1886099,1791856
CT,2011,1,901,5581044,1483567,1389695
CT,2012,1,901,5487554,1214919,1135327
CT,2013,1,901,5572384,408216,565158
CT,2014,1,901,5400344,161976,983510
CT,2015,1,901,5631613,132003,1399511
CT,2016,1,901,5403509,346382,1824878
DE,1986,1,1001,1213879,220833,1232416
DE,1999,1,1001,1233256,721569,817013
DE,2006,1,1001,1860085,21796,469673
DE,2008,1,1001,2660605,15777,597186
DE,2010,1,1001,871701,547385,917864
DE,2011,1,1001,762504,448073,1449954
DE,2012,1,1001,1018638,422215,1226469
DE,2013,1,1001,1451562,367255,1090545
DE,2014,1,1001,1697518,218226,1120075
DE,2015,1,1001,1706216,167601,1525024
DE,2016,1,1001,1611478,168750,1330557
FL,1970,1,1201,51438,181100,485100
FL,1970,2,1202,538300,98800,428400
FL,1970,3,1203,2700,0,0
FL,1970,4,1204,0,0,0
FL,1980,1,1201,87390,0,510755
FL,1980,2,1202,491368,128215,95931
FL,1980,3,1203,47693,0,108251
FL,1980,4,1204,0,0,0
FL,1987,1,1201,359200,165100,290100
FL,1987,2,1202,535800,151900,206200
FL,1987,3,1203,34000,0,0
FL,1987,4,1204,0,0,0
FL,1995,1,1201,285264,0,195742
FL,1995,2,1202,582435,259797,593498
FL,1995,3,1203,42900,0,0
FL,1995,4,1204,0,0,0
FL,2005,1,1201,247590,0,152013
FL,2005,2,1202,90631,465544,211820
FL,2005,3,1203,0,0,0
FL,2005,4,1204,0,0,0
FL,2007,1,1201,239666,0,86214
FL,2007,2,1202,44591,417920,197405
FL,2007,3,1203,0,0,0
FL,2007,4,1204,0,0,0
FL,2010,1,1201,-159680,269797,0
FL,2010,2,1202,-521719,1218944,217675
FL,2010,3,1203,0,0,0
FL,2010,4,1204,0,0,0
FL,2011,1,1201,-67474,165691,0
FL,2011,2,1202,-269116,787368,1200735
FL,2011,3,1203,0,0,0
FL,2011,4,1204,0,0,0
FL,2012,1,1201,-33556,126569,0
FL,2012,2,1202,8000,578762,1025459
FL,2012,3,1203,0,0,0
FL,2012,4,1204,0,0,0
FL,2013,1,1201,-27137,102140,0
