ReleaseDate,STATE_ABBR,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,year,region
20180327,AK,461215.23000000004,121366.23999999999,15592.720000000001,0,0,0,3/27/2018,4/2/2018,1,2018,"NA"
20180320,AK,461215.23000000004,121366.23999999999,15592.720000000001,0,0,0,3/20/2018,3/26/2018,1,2018,"NA"
20180313,AK,427561.46,155020.02,15592.720000000001,0,0,0,3/13/2018,3/19/2018,1,2018,"NA"
20180306,AK,427561.46,155020.02,15592.720000000001,0,0,0,3/6/2018,3/12/2018,1,2018,"NA"
20180227,AK,427561.45,155020.02,0,0,0,0,2/27/2018,3/5/2018,1,2018,"NA"
20180220,AK,427561.46,155020.02,0,0,0,0,2/20/2018,2/26/2018,1,2018,"NA"
20180213,AK,427561.45,155020.02,0,0,0,0,2/13/2018,2/19/2018,1,2018,"NA"
20180206,AK,427561.46,155020.02,0,0,0,0,2/6/2018,2/12/2018,1,2018,"NA"
20180130,AK,374569.25,208012.23,0,0,0,0,1/30/2018,2/5/2018,1,2018,"NA"
20180123,AK,582581.47,0,0,0,0,0,1/23/2018,1/29/2018,1,2018,"NA"
20180116,AK,582581.47,0,0,0,0,0,1/16/2018,1/22/2018,1,2018,"NA"
20180109,AK,582581.47,0,0,0,0,0,1/9/2018,1/15/2018,1,2018,"NA"
20180102,AK,582581.47,0,0,0,0,0,1/2/2018,1/8/2018,1,2018,"NA"
20171226,AK,582581.47,0,0,0,0,0,12/26/2017,1/1/2018,1,2017,"NA"
20171219,AK,582581.47,0,0,0,0,0,12/19/2017,12/25/2017,1,2017,"NA"
20171212,AK,582581.47,0,0,0,0,0,12/12/2017,12/18/2017,1,2017,"NA"
20171205,AK,582581.47,0,0,0,0,0,12/5/2017,12/11/2017,1,2017,"NA"
20171128,AK,582581.47,0,0,0,0,0,11/28/2017,12/4/2017,1,2017,"NA"
20171121,AK,582581.47,0,0,0,0,0,11/21/2017,11/27/2017,1,2017,"NA"
20171114,AK,582581.47,0,0,0,0,0,11/14/2017,11/20/2017,1,2017,"NA"
20171107,AK,582581.47,0,0,0,0,0,11/7/2017,11/13/2017,1,2017,"NA"
20171031,AK,582581.47,0,0,0,0,0,10/31/2017,11/6/2017,1,2017,"NA"
20171024,AK,582581.47,0,0,0,0,0,10/24/2017,10/30/2017,1,2017,"NA"
20171017,AK,582581.47,0,0,0,0,0,10/17/2017,10/23/2017,1,2017,"NA"
20171010,AK,582581.47,0,0,0,0,0,10/10/2017,10/16/2017,1,2017,"NA"
20171003,AK,582581.47,0,0,0,0,0,10/3/2017,10/9/2017,1,2017,"NA"
20170926,AK,582581.47,0,0,0,0,0,9/26/2017,10/2/2017,1,2017,"NA"
20170919,AK,582581.47,0,0,0,0,0,9/19/2017,9/25/2017,1,2017,"NA"
20170912,AK,580568.9600000001,2012.52,0,0,0,0,9/12/2017,9/18/2017,1,2017,"NA"
20170905,AK,535204.56,47376.92,0,0,0,0,9/5/2017,9/11/2017,1,2017,"NA"
20170829,AK,520816.62,61764.86,0,0,0,0,8/29/2017,9/4/2017,1,2017,"NA"
20170822,AK,520816.62,61764.86,0,0,0,0,8/22/2017,8/28/2017,1,2017,"NA"
20170815,AK,520816.62,61764.86,0,0,0,0,8/15/2017,8/21/2017,1,2017,"NA"
20170808,AK,394159.88,188421.59,4024.74,0,0,0,8/8/2017,8/14/2017,1,2017,"NA"
20170801,AK,354582.47000000003,227999.01,38882.57,0,0,0,8/1/2017,8/7/2017,1,2017,"NA"
20170725,AK,357018.1,225563.37,38882.57,0,0,0,7/25/2017,7/31/2017,1,2017,"NA"
20170718,AK,348664.06,233917.41999999998,38882.57,0,0,0,7/18/2017,7/24/2017,1,2017,"NA"
20170711,AK,401899.22000000003,180682.26,34857.82,0,0,0,7/11/2017,7/17/2017,1,2017,"NA"
20170704,AK,401899.22000000003,180682.26,34857.82,0,0,0,7/4/2017,7/10/2017,1,2017,"NA"
20170627,AK,401899.37,180682.1,34857.8,0,0,0,6/27/2017,7/3/2017,1,2017,"NA"
20170620,AK,364605.39,217976.09,47101.46,0,0,0,6/20/2017,6/26/2017,1,2017,"NA"
20170613,AK,386041.93000000005,196539.55,33832.07,0,0,0,6/13/2017,6/19/2017,1,2017,"NA"
20170606,AK,386042.13,196539.34,33832.08,0,0,0,6/6/2017,6/12/2017,1,2017,"NA"
20170530,AK,390268.49000000005,192312.97999999998,0,0,0,0,5/30/2017,6/5/2017,1,2017,"NA"
20170523,AK,390268.49000000005,192312.97999999998,0,0,0,0,5/23/2017,5/29/2017,1,2017,"NA"
20170516,AK,390268.25,192313.22,0,0,0,0,5/16/2017,5/22/2017,1,2017,"NA"
20170509,AK,390268.25,192313.22,0,0,0,0,5/9/2017,5/15/2017,1,2017,"NA"
20170502,AK,390268.25,192313.22,0,0,0,0,5/2/2017,5/8/2017,1,2017,"NA"
20170425,AK,390268.25,192313.22,0,0,0,0,4/25/2017,5/1/2017,1,2017,"NA"
20170418,AK,390268.49000000005,192312.97999999998,0,0,0,0,4/18/2017,4/24/2017,1,2017,"NA"
20170411,AK,401086.53,181494.94,0,0,0,0,4/11/2017,4/17/2017,1,2017,"NA"
20170404,AK,401086.24,181495.23,0,0,0,0,4/4/2017,4/10/2017,1,2017,"NA"
20170328,AK,401086.53,181494.94,0,0,0,0,3/28/2017,4/3/2017,1,2017,"NA"
20170321,AK,401086.53,181494.94,0,0,0,0,3/21/2017,3/27/2017,1,2017,"NA"
20170314,AK,401086.53,181494.94,0,0,0,0,3/14/2017,3/20/2017,1,2017,"NA"
20170307,AK,401086.53,181494.94,0,0,0,0,3/7/2017,3/13/2017,1,2017,"NA"
