STUSPS,EVAL_GRP_YEAR,tot
AL,2014,1482356735
AR,2014,2690343107
CT,2014,278272868
DE,2014,81032447
FL,2014,18806270
GA,2014,1695034093
IA,2014,577944986
IL,2014,1026477292
IN,2014,817571165
KS,2014,106974712
KY,2014,2680202824
LA,2014,577817495
MA,2014,230606484
MD,2014,490802608
ME,2014,24129700
MI,2014,862200286
MN,2014,787907549
MO,2014,3998852945
MS,2014,1096960830
NC,2014,1982438073
ND,2014,64491969
NE,2014,80356117
NH,2014,68038889
NJ,2014,228963778
NY,2014,498506350
OH,2014,979927434
OK,2014,248116202
PA,2014,1598555783
RI,2014,65382225
SC,2014,878489109
SD,2014,21835462
TN,2014,2986590715
TX,2014,346609974
VA,2014,3104538453
VT,2014,24487892
WI,2014,1039844578
WV,2014,2243665341
