STATE_ABBR,EVAL_GRP_YEAR,UNIT,tot
AL,2014,101,12717362
AL,2014,102,118558582
AL,2014,103,248298515
AL,2014,104,251444623
AL,2014,105,458726229
AL,2014,106,392611424
AR,2014,501,96693228
AR,2014,502,63888017
AR,2014,503,467200056
AR,2014,504,585216790
AR,2014,505,1477345016
CT,2014,901,278272868
DE,2014,1001,81032447
FL,2014,1201,6024548
FL,2014,1202,12781722
FL,2014,1203,0
FL,2014,1204,0
GA,2014,1301,24972416
GA,2014,1302,17242608
GA,2014,1303,477309261
GA,2014,1304,575026329
GA,2014,1305,600483479
IA,2014,1901,204983615
IA,2014,1902,292152551
IA,2014,1903,68557762
IA,2014,1904,12251058
IL,2014,1701,230566577
IL,2014,1702,301920326
IL,2014,1703,493990389
IN,2014,1801,147389976
IN,2014,1802,438345403
IN,2014,1803,98168805
IN,2014,1804,133666981
KS,2014,2001,51454059
KS,2014,2002,47172104
KS,2014,2003,8348549
KY,2014,2101,251477874
KY,2014,2102,456615118
KY,2014,2103,655671458
KY,2014,2104,307616670
KY,2014,2105,495559295
KY,2014,2106,284564048
KY,2014,2107,228698361
LA,2014,2201,38984262
LA,2014,2202,19975495
LA,2014,2203,236051372
LA,2014,2204,68528351
LA,2014,2205,214278015
MA,2014,2501,230606484
MD,2014,2402,231739125
MD,2014,2403,114647402
MD,2014,2404,45097602
MD,2014,2405,99318479
ME,2014,2301,0
ME,2014,2302,0
ME,2014,2303,1841962
ME,2014,2304,0
ME,2014,2305,0
ME,2014,2306,4045736
ME,2014,2307,39593
ME,2014,2308,15948304
ME,2014,2309,2254105
MI,2014,2601,3364835
MI,2014,2602,460624
MI,2014,2603,421013149
MI,2014,2604,437361678
MN,2014,2701,11532794
MN,2014,2702,326085977
MN,2014,2703,345892478
MN,2014,2704,104396300
MO,2014,2901,1391253257
MO,2014,2902,609114524
MO,2014,2903,514168347
MO,2014,2904,570591832
MO,2014,2905,913724985
MS,2014,2801,50522880
MS,2014,2802,482187450
MS,2014,2803,260206664
MS,2014,2804,89471009
MS,2014,2805,214572827
NC,2014,3701,205514633
NC,2014,3702,146030091
NC,2014,3703,1188405072
NC,2014,3704,442488277
ND,2014,3801,64491969
NE,2014,3101,57311931
NE,2014,3102,23044186
NH,2014,3302,12107808
NH,2014,3303,55931081
NJ,2014,3401,228963778
NY,2014,3601,27073420
NY,2014,3602,75262488
NY,2014,3603,547922
NY,2014,3604,5224334
NY,2014,3605,52135651
NY,2014,3606,43085834
NY,2014,3607,80749378
NY,2014,3608,214427323
OH,2014,3901,295749889
OH,2014,3902,220524203
OH,2014,3903,157893401
OH,2014,3904,94869269
OH,2014,3905,69919829
OH,2014,3906,140970843
OK,2014,4001,123035814
OK,2014,4002,100402233
OK,2014,4003,7712002
OK,2014,4004,11252782
OK,2014,4005,5713371
OK,2014,4007,0
PA,2014,4200,188801033
PA,2014,4205,203303913
PA,2014,4206,612200998
PA,2014,4207,114241055
PA,2014,4208,371251192
PA,2014,4209,108757592
RI,2014,4401,65382225
SC,2014,4501,76937574
SC,2014,4502,136786955
SC,2014,4503,664764580
SD,2014,4601,13285946
SD,2014,4602,8549516
TN,2014,4701,274330739
TN,2014,4702,892876439
TN,2014,4703,407784222
TN,2014,4704,883894557
TN,2014,4705,527704758
TX,2014,4801,165219871
TX,2014,4802,167340521
TX,2014,4803,13942507
TX,2014,4804,0
TX,2014,4805,107075
TX,2014,4806,0
TX,2014,4807,0
VA,2014,5101,653653143
VA,2014,5102,775185007
VA,2014,5103,708870731
VA,2014,5104,571926546
VA,2014,5105,394903026
VT,2014,5002,3828561
VT,2014,5003,20659331
WI,2014,5501,21123501
WI,2014,5502,171863517
WI,2014,5503,305011230
WI,2014,5504,337244560
WI,2014,5505,204601770
WV,2014,5402,660917111
WV,2014,5403,676823490
WV,2014,5404,905924740
