region,FIRE_YEAR,count,tot_acres
"NA",1992,47,1073691.8
"NA",1993,54,1112596.6
"NA",1994,131,2209263.1
"NA",1995,57,729924.7
"NA",1996,175,3877519
"NA",1997,49,2231925
"NA",1998,48,571830.49
"NA",1999,124,3723867.5
"NA",2000,187,4692100.799
"NA",2001,79,1700120.1
"NA",2002,130,4881249.74
"NA",2003,100,2609597.5002
"NA",2004,94,7031912.1002
"NA",2005,182,7149326.902
"NA",2006,183,4824441.3
"NA",2007,191,5966117.56
"NA",2008,97,2017757.76
"NA",2009,91,3243789.1
R2,1992,1,5969.6
R2,1995,1,6885
R2,1996,1,6e3
R2,1997,1,9e3
R2,1999,8,173209
R2,2000,19,318535.2
R2,2001,1,11740
R2,2002,9,84480.3
R2,2003,2,23568
R2,2005,3,16500
R2,2006,8,77257.4
R2,2007,4,42778
R8,1992,3,27610
R8,1993,4,27503
R8,1994,7,89882
R8,1995,2,12618
R8,1996,7,67051
R8,1997,4,69e3
R8,1998,19,244520
R8,1999,11,315183
R8,2000,19,195428.3
R8,2001,23,298707.6
R8,2002,5,150140
R8,2003,2,16683
R8,2004,9,119407
R8,2005,20,164110
R8,2006,45,1552597.3
R8,2007,19,658541.7002
R8,2008,37,881562
R8,2009,11,123155
R9,1992,2,10484
R9,1994,1,11420
R9,1995,3,37825
R9,1998,2,11140
R9,1999,1,11765
R9,2000,3,18833
R9,2001,1,13820
R9,2002,2,15935
R9,2003,4,86215
R9,2004,1,7330.5
R9,2006,3,43348
R9,2007,6,147536
