State,Region,Year,Acres,State_code,STATE_ABBR,region
Alabama,Southern,1997,0,1,AL,R8
Alabama,Southern,1999,0,1,AL,R8
Alabama,Southern,1998,0,1,AL,R8
Alabama,Southern,2e3,0,1,AL,R8
Alabama,Southern,2005,588.1,1,AL,R8
Alabama,Southern,2009,1.5,1,AL,R8
Alabama,Southern,2011,23.5,1,AL,R8
Alabama,Southern,2001,0,1,AL,R8
Alabama,Southern,2006,0,1,AL,R8
Alabama,Southern,2012,3.7,1,AL,R8
Alabama,Southern,2016,939.9,1,AL,R8
Alabama,Southern,2002,3483.2,1,AL,R8
Alabama,Southern,2003,1386.8,1,AL,R8
Alabama,Southern,2007,521,1,AL,R8
Alabama,Southern,2013,33.5,1,AL,R8
Alabama,Southern,2015,190,1,AL,R8
Alabama,Southern,2004,2839.9,1,AL,R8
Alabama,Southern,2008,26,1,AL,R8
Alabama,Southern,2010,5,1,AL,R8
Alabama,Southern,2014,49.3,1,AL,R8
Alaska,Alaska,1997,575070.7,50,AK,"NA"
Alaska,Alaska,1999,291152.8,50,AK,"NA"
Alaska,Alaska,2003,124727,50,AK,"NA"
Alaska,Alaska,2005,133035.1,50,AK,"NA"
Alaska,Alaska,2009,154904,50,AK,"NA"
Alaska,Alaska,2011,89378.1,50,AK,"NA"
Alaska,Alaska,2015,89354.9,50,AK,"NA"
Alaska,Alaska,2013,54253.3,50,AK,"NA"
Alaska,Alaska,1998,331958.1,50,AK,"NA"
Alaska,Alaska,2e3,122260.5,50,AK,"NA"
Alaska,Alaska,2004,181115.2,50,AK,"NA"
Alaska,Alaska,2006,167450.8,50,AK,"NA"
Alaska,Alaska,2010,143501.5,50,AK,"NA"
Alaska,Alaska,2012,47267.3,50,AK,"NA"
Alaska,Alaska,2016,246331.2,50,AK,"NA"
Alaska,Alaska,2014,58576.9,50,AK,"NA"
Alaska,Alaska,2001,233066,50,AK,"NA"
Alaska,Alaska,2007,221434.9,50,AK,"NA"
Alaska,Alaska,2002,62508.6,50,AK,"NA"
Alaska,Alaska,2008,144357.7,50,AK,"NA"
Arizona,Southwestern,2007,21571.6,2,AZ,"NA"
Arizona,Southwestern,1997,77685.9,2,AZ,"NA"
Arizona,Southwestern,2011,5524.9,2,AZ,"NA"
Arizona,Southwestern,2013,169979.8,2,AZ,"NA"
Arizona,Southwestern,2008,19345.8,2,AZ,"NA"
Arizona,Southwestern,1998,30241,2,AZ,"NA"
Arizona,Southwestern,2012,47827.9,2,AZ,"NA"
Arizona,Southwestern,2014,145352.2,2,AZ,"NA"
Arizona,Southwestern,2005,38787.4,2,AZ,"NA"
Arizona,Southwestern,2001,134580.8,2,AZ,"NA"
Arizona,Southwestern,2016,112759.8,2,AZ,"NA"
Arizona,Southwestern,2003,1705515.3,2,AZ,"NA"
Arizona,Southwestern,2006,30416.2,2,AZ,"NA"
Arizona,Southwestern,2009,38829.7,2,AZ,"NA"
Arizona,Southwestern,2e3,16143,2,AZ,"NA"
Arizona,Southwestern,2015,40768,2,AZ,"NA"
Arizona,Southwestern,2002,517271.6,2,AZ,"NA"
Arizona,Southwestern,2004,138550.4,2,AZ,"NA"
Arizona,Southwestern,2010,22800.8,2,AZ,"NA"
Arizona,Southwestern,1999,12771.1,2,AZ,"NA"
Arkansas,Southern,2011,0,3,AR,R8
Arkansas,Southern,1999,0,3,AR,R8
Arkansas,Southern,2003,596.8,3,AR,R8
Arkansas,Southern,1997,0,3,AR,R8
Arkansas,Southern,1998,0,3,AR,R8
Arkansas,Southern,2013,0,3,AR,R8
Arkansas,Southern,2e3,0,3,AR,R8
Arkansas,Southern,2005,0,3,AR,R8
Arkansas,Southern,2009,0,3,AR,R8
Arkansas,Southern,2010,234.1,3,AR,R8
Arkansas,Southern,2015,14952.1,3,AR,R8
Arkansas,Southern,2004,0,3,AR,R8
Arkansas,Southern,2006,0,3,AR,R8
Arkansas,Southern,2007,0,3,AR,R8
Arkansas,Southern,2012,0,3,AR,R8
Arkansas,Southern,2002,16815.4,3,AR,R8
Arkansas,Southern,2001,0,3,AR,R8
Arkansas,Southern,2014,181.2,3,AR,R8
Arkansas,Southern,2016,22604.2,3,AR,R8
Arkansas,Southern,2008,0,3,AR,R8
California,Pacific Northwest,2004,4198.3,4,CA,"NA"
California,Pacific Northwest,2010,1587.1,4,CA,"NA"
California,Pacific Northwest,2016,1203.3,4,CA,"NA"
California,Pacific Northwest,2003,863.2,4,CA,"NA"
California,Pacific Northwest,2009,445,4,CA,"NA"
California,Intermountain,2013,8702.1,4,CA,"NA"
California,Pacific Northwest,2015,2319.2,4,CA,"NA"
California,Pacific Southwest,1997,207545.7,4,CA,"NA"
California,Pacific Northwest,2e3,129.1,4,CA,"NA"
California,Intermountain,2014,13622.8,4,CA,"NA"
California,Pacific Southwest,1998,97544.1,4,CA,"NA"
California,Intermountain,2003,40292.2,4,CA,"NA"
California,Pacific Southwest,2004,1647215.3,4,CA,"NA"
California,Pacific Northwest,1997,16.6,4,CA,"NA"
California,Pacific Northwest,1999,162.2,4,CA,"NA"
California,Intermountain,2011,2849.9,4,CA,"NA"
California,Pacific Southwest,2012,507657,4,CA,"NA"
California,Pacific Southwest,2016,4288458.4,4,CA,"NA"
California,Pacific Southwest,2003,2975170.4,4,CA,"NA"
California,Intermountain,2004,41600.1,4,CA,"NA"
California,Pacific Northwest,1998,44.9,4,CA,"NA"
California,Pacific Southwest,2011,532960.7,4,CA,"NA"
California,Pacific Southwest,2015,2755049.5,4,CA,"NA"
California,Intermountain,2012,3843.3,4,CA,"NA"
