Region,State,Year,Acres
Alaska,Alaska,1997,575070.7
Intermountain,California,1997,359
Intermountain,Colorado,1997,6.8
Intermountain,Idaho,1997,77393.1
Intermountain,Nevada,1997,2378.9
Intermountain,Utah,1997,224240.2
Intermountain,Wyoming,1997,65985.5
Northeastern Area,Connecticut,1997,0
Northeastern Area,Delaware,1997,0
Northeastern Area,Illinois,1997,0
Northeastern Area,Indiana,1997,0
Northeastern Area,Iowa,1997,0
Northeastern Area,Maine,1997,0
Northeastern Area,Maryland,1997,0
Northeastern Area,Massachusetts,1997,3512
Northeastern Area,Michigan,1997,18793.7
Northeastern Area,Minnesota,1997,31541.5
Northeastern Area,Missouri,1997,0
Northeastern Area,New Hampshire,1997,0
Northeastern Area,New Jersey,1997,0
Northeastern Area,New York,1997,456.1
Northeastern Area,Ohio,1997,0
Northeastern Area,Pennsylvania,1997,0
Northeastern Area,Rhode Island,1997,0
Northeastern Area,Vermont,1997,2303.9
Northeastern Area,West Virginia,1997,868986.2
Northeastern Area,Wisconsin,1997,0
Northern,Idaho,1997,205437.6
Northern,Montana,1997,94856.1
Northern,North Dakota,1997,0
Northern,South Dakota,1997,28.4
Northern,Washington,1997,0
Northern,Wyoming,1997,14847.5
Pacific Northwest,California,1997,16.6
Pacific Northwest,Oregon,1997,111433.5
Pacific Northwest,Washington,1997,141931.8
Pacific Southwest,California,1997,207545.7
Pacific Southwest,Hawaii,1997,0
Pacific Southwest,Nevada,1997,0
Pacific Southwest,Oregon,1997,203.5
Rocky Mountain,Colorado,1997,111569.9
Rocky Mountain,Kansas,1997,0
Rocky Mountain,Nebraska,1997,0
Rocky Mountain,South Dakota,1997,9509.3
Rocky Mountain,Wyoming,1997,39919.5
Southern,Alabama,1997,0
Southern,Arkansas,1997,0
Southern,Florida,1997,0
Southern,Georgia,1997,0
Southern,Kentucky,1997,0
Southern,Louisiana,1997,0
Southern,Mississippi,1997,0
Southern,North Carolina,1997,0
Southern,Oklahoma,1997,0
Southern,South Carolina,1997,0
Southern,Tennessee,1997,0
Southern,Texas,1997,0
Southern,Virginia,1997,834.8
Southern,West Virginia,1997,0
Southwestern,Arizona,1997,77685.9
Southwestern,New Mexico,1997,16678
Alaska,Alaska,1998,331958.1
Intermountain,California,1998,858.3
Intermountain,Colorado,1998,3.4
Intermountain,Idaho,1998,29694.4
Intermountain,Nevada,1998,2387.2
Intermountain,Utah,1998,95675.2
Intermountain,Wyoming,1998,5702
Northeastern Area,Connecticut,1998,0
Northeastern Area,Delaware,1998,0
Northeastern Area,Illinois,1998,0
Northeastern Area,Indiana,1998,0
Northeastern Area,Iowa,1998,0
Northeastern Area,Maine,1998,274.3
Northeastern Area,Maryland,1998,0
Northeastern Area,Massachusetts,1998,5310.5
Northeastern Area,Michigan,1998,24814.5
Northeastern Area,Minnesota,1998,6080.1
Northeastern Area,Missouri,1998,41383.3
Northeastern Area,New Hampshire,1998,37354.2
Northeastern Area,New Jersey,1998,0
Northeastern Area,New York,1998,0.8
Northeastern Area,Ohio,1998,0
Northeastern Area,Pennsylvania,1998,0
Northeastern Area,Rhode Island,1998,0
Northeastern Area,Vermont,1998,78656.8
Northeastern Area,West Virginia,1998,0
Northeastern Area,Wisconsin,1998,299271.9
Northern,Idaho,1998,206352.6
Northern,Montana,1998,186534.2
Northern,North Dakota,1998,0
Northern,South Dakota,1998,0
Northern,Washington,1998,0
Northern,Wyoming,1998,0.4
Pacific Northwest,California,1998,44.9
Pacific Northwest,Oregon,1998,98283
Pacific Northwest,Washington,1998,101765.9
Pacific Southwest,California,1998,97544.1
Pacific Southwest,Hawaii,1998,0
Pacific Southwest,Nevada,1998,0
Pacific Southwest,Oregon,1998,68.8
Rocky Mountain,Colorado,1998,372717.2
Rocky Mountain,Kansas,1998,0
Rocky Mountain,Nebraska,1998,510
Rocky Mountain,South Dakota,1998,13714.5
Rocky Mountain,Wyoming,1998,9638
Southern,Alabama,1998,0
Southern,Arkansas,1998,0
Southern,Florida,1998,0
Southern,Georgia,1998,18.4
Southern,Kentucky,1998,0
Southern,Louisiana,1998,0
Southern,Mississippi,1998,0
Southern,North Carolina,1998,0
Southern,Oklahoma,1998,0
Southern,South Carolina,1998,0
Southern,Tennessee,1998,0
Southern,Texas,1998,0
Southern,Virginia,1998,0
Southern,West Virginia,1998,0
Southwestern,Arizona,1998,30241
Southwestern,New Mexico,1998,13162.7
Alaska,Alaska,1999,291152.8
Intermountain,California,1999,611
Intermountain,Colorado,1999,9.8
Intermountain,Idaho,1999,52326.7
Intermountain,Nevada,1999,17791.3
Intermountain,Utah,1999,66931.8
Intermountain,Wyoming,1999,11454.1
Northeastern Area,Connecticut,1999,0
Northeastern Area,Delaware,1999,0
Northeastern Area,Illinois,1999,0
Northeastern Area,Indiana,1999,0
Northeastern Area,Iowa,1999,0
Northeastern Area,Maine,1999,15532.5
Northeastern Area,Maryland,1999,605.8
Northeastern Area,Massachusetts,1999,1673.7
Northeastern Area,Michigan,1999,5354
Northeastern Area,Minnesota,1999,26719.9
Northeastern Area,Missouri,1999,0
Northeastern Area,New Hampshire,1999,1108.2
Northeastern Area,New Jersey,1999,0
Northeastern Area,New York,1999,0
Northeastern Area,Ohio,1999,0
Northeastern Area,Pennsylvania,1999,2397.8
Northeastern Area,Rhode Island,1999,0
Northeastern Area,Vermont,1999,1160.4
Northeastern Area,West Virginia,1999,0
Northeastern Area,Wisconsin,1999,0
Northern,Idaho,1999,307125.4
Northern,Montana,1999,177631.8
Northern,North Dakota,1999,0
Northern,South Dakota,1999,0
Northern,Washington,1999,0
Northern,Wyoming,1999,1.1
Pacific Northwest,California,1999,162.2
Pacific Northwest,Oregon,1999,142620.3
Pacific Northwest,Washington,1999,163212.2
Pacific Southwest,California,1999,25146.1
Pacific Southwest,Hawaii,1999,0
Pacific Southwest,Nevada,1999,0
Pacific Southwest,Oregon,1999,15.8
Rocky Mountain,Colorado,1999,259529.1
Rocky Mountain,Kansas,1999,0
Rocky Mountain,Nebraska,1999,0
Rocky Mountain,South Dakota,1999,19381.5
Rocky Mountain,Wyoming,1999,46073.2
Southern,Alabama,1999,0
Southern,Arkansas,1999,0
Southern,Florida,1999,0
Southern,Georgia,1999,0
Southern,Kentucky,1999,0
Southern,Louisiana,1999,0
Southern,Mississippi,1999,0
Southern,North Carolina,1999,0
Southern,Oklahoma,1999,0
Southern,South Carolina,1999,61039.8
Southern,Tennessee,1999,0
Southern,Texas,1999,0
Southern,Virginia,1999,0
Southern,West Virginia,1999,0
Southwestern,Arizona,1999,12771.1
Southwestern,New Mexico,1999,9400.4
Alaska,Alaska,2e3,122260.5
Intermountain,California,2e3,231.3
Intermountain,Colorado,2e3,13.6
Intermountain,Idaho,2e3,44134.9
Intermountain,Nevada,2e3,3542.7
Intermountain,Utah,2e3,59234.6
Intermountain,Wyoming,2e3,12099.8
Northeastern Area,Connecticut,2e3,0
Northeastern Area,Delaware,2e3,0
Northeastern Area,Illinois,2e3,0
Northeastern Area,Indiana,2e3,0
Northeastern Area,Iowa,2e3,0
Northeastern Area,Maine,2e3,0
Northeastern Area,Maryland,2e3,457
Northeastern Area,Massachusetts,2e3,574.9
Northeastern Area,Michigan,2e3,7695.9
Northeastern Area,Minnesota,2e3,25203.3
Northeastern Area,Missouri,2e3,22683.1
Northeastern Area,New Hampshire,2e3,13755.1
Northeastern Area,New Jersey,2e3,0
Northeastern Area,New York,2e3,13684.6
Northeastern Area,Ohio,2e3,1132.4
Northeastern Area,Pennsylvania,2e3,53.1
Northeastern Area,Rhode Island,2e3,0
Northeastern Area,Vermont,2e3,905
Northeastern Area,West Virginia,2e3,295935.2
Northeastern Area,Wisconsin,2e3,0
Northern,Idaho,2e3,326254.6
Northern,Montana,2e3,120341.5
Northern,North Dakota,2e3,0
Northern,South Dakota,2e3,0
Northern,Washington,2e3,0
Northern,Wyoming,2e3,3.5
Pacific Northwest,California,2e3,129.1
Pacific Northwest,Oregon,2e3,142835.6
Pacific Northwest,Washington,2e3,180541.6
Pacific Southwest,California,2e3,60128.7
Pacific Southwest,Hawaii,2e3,0
Pacific Southwest,Nevada,2e3,0
Pacific Southwest,Oregon,2e3,59.3
Rocky Mountain,Colorado,2e3,364004.6
Rocky Mountain,Kansas,2e3,0
Rocky Mountain,Nebraska,2e3,0
Rocky Mountain,South Dakota,2e3,13591.6
Rocky Mountain,Wyoming,2e3,83208.4
Southern,Alabama,2e3,0
Southern,Arkansas,2e3,0
Southern,Florida,2e3,0
Southern,Georgia,2e3,0
Southern,Kentucky,2e3,0
Southern,Louisiana,2e3,0
Southern,Mississippi,2e3,0
Southern,North Carolina,2e3,0
Southern,Oklahoma,2e3,0
Southern,South Carolina,2e3,0
Southern,Tennessee,2e3,0
Southern,Texas,2e3,0
Southern,Virginia,2e3,1590.8
Southern,West Virginia,2e3,0
Southwestern,Arizona,2e3,16143
Southwestern,New Mexico,2e3,46681.5
Alaska,Alaska,2001,233066
Intermountain,California,2001,251.8
Intermountain,Colorado,2001,189.2
Intermountain,Idaho,2001,91362.6
Intermountain,Nevada,2001,9761.1
Intermountain,Utah,2001,141123.6
Intermountain,Wyoming,2001,14132.5
Northeastern Area,Connecticut,2001,18.4
Northeastern Area,Delaware,2001,0
Northeastern Area,Illinois,2001,0
Northeastern Area,Indiana,2001,0
Northeastern Area,Iowa,2001,0
Northeastern Area,Maine,2001,0
Northeastern Area,Maryland,2001,0
Northeastern Area,Massachusetts,2001,1652.9
Northeastern Area,Michigan,2001,64799.9
Northeastern Area,Minnesota,2001,47387.9
Northeastern Area,Missouri,2001,0
Northeastern Area,New Hampshire,2001,17434.5
Northeastern Area,New Jersey,2001,0
Northeastern Area,New York,2001,2512.2
Northeastern Area,Ohio,2001,1053.9
Northeastern Area,Pennsylvania,2001,0
Northeastern Area,Rhode Island,2001,0
Northeastern Area,Vermont,2001,1345.5
Northeastern Area,West Virginia,2001,0
Northeastern Area,Wisconsin,2001,1967.5
Northern,Idaho,2001,382193.2
Northern,Montana,2001,289348.8
Northern,North Dakota,2001,0
Northern,South Dakota,2001,408.8
Northern,Washington,2001,0
Northern,Wyoming,2001,237.4
Pacific Northwest,California,2001,171.5
Pacific Northwest,Oregon,2001,155439.4
Pacific Northwest,Washington,2001,334440.2
Pacific Southwest,California,2001,87045.2
Pacific Southwest,Hawaii,2001,0
Pacific Southwest,Nevada,2001,0
Pacific Southwest,Oregon,2001,17.4
Rocky Mountain,Colorado,2001,432386.8
Rocky Mountain,Kansas,2001,0
Rocky Mountain,Nebraska,2001,0
Rocky Mountain,South Dakota,2001,139550
Rocky Mountain,Wyoming,2001,215180.3
Southern,Alabama,2001,0
Southern,Arkansas,2001,0
Southern,Florida,2001,0
Southern,Georgia,2001,0
Southern,Kentucky,2001,0
Southern,Louisiana,2001,0
Southern,Mississippi,2001,0
Southern,North Carolina,2001,0
Southern,Oklahoma,2001,0
Southern,South Carolina,2001,0
Southern,Tennessee,2001,0
Southern,Texas,2001,0
Southern,Virginia,2001,20.7
Southern,West Virginia,2001,0
Southwestern,Arizona,2001,134580.8
Southwestern,New Mexico,2001,71888.4
Alaska,Alaska,2002,62508.6
Intermountain,California,2002,1763.8
Intermountain,Colorado,2002,21.3
Intermountain,Idaho,2002,138314
Intermountain,Nevada,2002,73845.7
Intermountain,Utah,2002,105374.4
Intermountain,Wyoming,2002,37021
Northeastern Area,Connecticut,2002,0.2
Northeastern Area,Delaware,2002,334.2
Northeastern Area,Illinois,2002,0
Northeastern Area,Indiana,2002,0
Northeastern Area,Iowa,2002,0
Northeastern Area,Maine,2002,645761.1
Northeastern Area,Maryland,2002,0
Northeastern Area,Massachusetts,2002,2027.1
Northeastern Area,Michigan,2002,170776
Northeastern Area,Minnesota,2002,40996.6
Northeastern Area,Missouri,2002,67163.9
Northeastern Area,New Hampshire,2002,979.9
Northeastern Area,New Jersey,2002,2032291.9
Northeastern Area,New York,2002,14067.8
Northeastern Area,Ohio,2002,0
Northeastern Area,Pennsylvania,2002,0.5
Northeastern Area,Rhode Island,2002,0
Northeastern Area,Vermont,2002,7144.7
Northeastern Area,West Virginia,2002,11632
Northeastern Area,Wisconsin,2002,0
Northern,Idaho,2002,551336.8
Northern,Montana,2002,422147.8
Northern,North Dakota,2002,0
Northern,South Dakota,2002,0
Northern,Washington,2002,0
Northern,Wyoming,2002,23316.7
Pacific Northwest,California,2002,1211
Pacific Northwest,Oregon,2002,377701.8
Pacific Northwest,Washington,2002,448502
Pacific Southwest,California,2002,930490.1
Pacific Southwest,Hawaii,2002,0
Pacific Southwest,Nevada,2002,0
Pacific Southwest,Oregon,2002,428.1
Rocky Mountain,Colorado,2002,669717.2
Rocky Mountain,Kansas,2002,0
Rocky Mountain,Nebraska,2002,0
Rocky Mountain,South Dakota,2002,117470.7
Rocky Mountain,Wyoming,2002,212166.2
Southern,Alabama,2002,3483.2
Southern,Arkansas,2002,16815.4
Southern,Florida,2002,1141.3
Southern,Georgia,2002,4197
Southern,Kentucky,2002,3213.9
Southern,Louisiana,2002,44.6
Southern,Mississippi,2002,545.2
Southern,North Carolina,2002,26589.6
Southern,Oklahoma,2002,2751.3
Southern,South Carolina,2002,4
Southern,Tennessee,2002,22069.2
Southern,Texas,2002,6470.9
Southern,Virginia,2002,5695.7
Southern,West Virginia,2002,0
Southwestern,Arizona,2002,517271.6
Southwestern,New Mexico,2002,177198.8
Alaska,Alaska,2003,124727
Intermountain,California,2003,40292.2
Intermountain,Colorado,2003,159.6
Intermountain,Idaho,2003,256164.8
Intermountain,Nevada,2003,425267.7
Intermountain,Utah,2003,364338
Intermountain,Wyoming,2003,118430.6
Northeastern Area,Connecticut,2003,0
Northeastern Area,Delaware,2003,0
Northeastern Area,Illinois,2003,0
Northeastern Area,Indiana,2003,0
Northeastern Area,Iowa,2003,0
Northeastern Area,Maine,2003,26748.3
Northeastern Area,Maryland,2003,0
Northeastern Area,Massachusetts,2003,5793.6
Northeastern Area,Michigan,2003,222219.5
Northeastern Area,Minnesota,2003,36740.5
Northeastern Area,Missouri,2003,206050.1
Northeastern Area,New Hampshire,2003,42081.2
Northeastern Area,New Jersey,2003,2494
Northeastern Area,New York,2003,11704.7
Northeastern Area,Ohio,2003,503.8
Northeastern Area,Pennsylvania,2003,59720.3
Northeastern Area,Rhode Island,2003,15.8
Northeastern Area,Vermont,2003,16329.3
Northeastern Area,West Virginia,2003,71284.7
Northeastern Area,Wisconsin,2003,12208.5
Northern,Idaho,2003,442357.6
Northern,Montana,2003,469593.8
Northern,North Dakota,2003,17.5
Northern,South Dakota,2003,258.8
Northern,Washington,2003,0
Northern,Wyoming,2003,19553.6
Pacific Northwest,California,2003,863.2
Pacific Northwest,Oregon,2003,623421.3
Pacific Northwest,Washington,2003,905334.3
Pacific Southwest,California,2003,2975170.4
Pacific Southwest,Hawaii,2003,0
Pacific Southwest,Nevada,2003,15367.9
Pacific Southwest,Oregon,2003,4357.9
Rocky Mountain,Colorado,2003,1839700.9
Rocky Mountain,Kansas,2003,9.1
Rocky Mountain,Nebraska,2003,10870.4
Rocky Mountain,South Dakota,2003,240033
Rocky Mountain,Wyoming,2003,153420.4
Southern,Alabama,2003,1386.8
Southern,Arkansas,2003,596.8
Southern,Florida,2003,1637.2
Southern,Georgia,2003,974.7
Southern,Kentucky,2003,2425.6
Southern,Louisiana,2003,202001.2
Southern,Mississippi,2003,1122.4
Southern,North Carolina,2003,1120.2
Southern,Oklahoma,2003,16670.3
Southern,South Carolina,2003,224
Southern,Tennessee,2003,257.5
Southern,Texas,2003,62.5
Southern,Virginia,2003,4
Southern,West Virginia,2003,0
Southwestern,Arizona,2003,1705515.3
Southwestern,New Mexico,2003,910185.7
Alaska,Alaska,2004,181115.2
Intermountain,California,2004,41600.1
Intermountain,Colorado,2004,482.6
Intermountain,Idaho,2004,563536.3
Intermountain,Nevada,2004,799987.2
Intermountain,Utah,2004,581502.6
Intermountain,Wyoming,2004,329794.7
Northeastern Area,Connecticut,2004,484.1
Northeastern Area,Delaware,2004,0
Northeastern Area,Illinois,2004,358.2
Northeastern Area,Indiana,2004,0
Northeastern Area,Iowa,2004,0.9
Northeastern Area,Maine,2004,12443.2
Northeastern Area,Maryland,2004,0
Northeastern Area,Massachusetts,2004,860.5
Northeastern Area,Michigan,2004,464401.4
Northeastern Area,Minnesota,2004,54549.6
Northeastern Area,Missouri,2004,0
Northeastern Area,New Hampshire,2004,163682.7
Northeastern Area,New Jersey,2004,6711.5
Northeastern Area,New York,2004,27517.4
Northeastern Area,Ohio,2004,854.3
Northeastern Area,Pennsylvania,2004,306
Northeastern Area,Rhode Island,2004,33.1
Northeastern Area,Vermont,2004,28407.7
Northeastern Area,West Virginia,2004,484.7
Northeastern Area,Wisconsin,2004,0
Northern,Idaho,2004,571641.7
Northern,Montana,2004,704571.5
Northern,North Dakota,2004,0
Northern,South Dakota,2004,0
Northern,Washington,2004,0
Northern,Wyoming,2004,38.1
Pacific Northwest,California,2004,4198.3
Pacific Northwest,Oregon,2004,714152.7
Pacific Northwest,Washington,2004,870862.9
Pacific Southwest,California,2004,1647215.3
Pacific Southwest,Hawaii,2004,0
Pacific Southwest,Nevada,2004,5955.8
Pacific Southwest,Oregon,2004,1329.2
Rocky Mountain,Colorado,2004,1447864.6
Rocky Mountain,Kansas,2004,0
Rocky Mountain,Nebraska,2004,12560.4
Rocky Mountain,South Dakota,2004,101382.8
Rocky Mountain,Wyoming,2004,338669.4
Southern,Alabama,2004,2839.9
Southern,Arkansas,2004,0
Southern,Florida,2004,24929.5
Southern,Georgia,2004,274.9
Southern,Kentucky,2004,730.3
Southern,Louisiana,2004,53.1
Southern,Mississippi,2004,52.6
Southern,North Carolina,2004,551
Southern,Oklahoma,2004,4
