years,sim_number,value
2014,mean,19763625725
2015,mean,19978542584.045025
2016,mean,20201325684.6912
2017,mean,20431929782.04496
2018,mean,20670814662.084717
2019,mean,20918167065.113323
2020,mean,21174250027.81531
2021,mean,21439069034.584076
2022,mean,21713134839.487873
2023,mean,21996717352.34749
2024,mean,22290128744.31465
2025,mean,22593596548.60513
2026,mean,22907584734.7828
2027,mean,23232438043.95873
2028,mean,23568378928.733856
2029,mean,23915935326.398872
2030,mean,24275713925.193604
2031,mean,24647948294.192642
2032,mean,25033179228.997177
2033,mean,25431756204.95501
2034,mean,25844255808.798492
2035,mean,26271330006.591633
2036,mean,26713679884.744064
2037,mean,27171623874.764374
2038,mean,27645607909.09544
2039,mean,28136902505.44072
2040,mean,28646027981.97781
2041,mean,29173463629.424587
2042,mean,29720417477.561287
2043,mean,30287744177.07392
2044,mean,30876210412.969147
2045,mean,31486618119.090122
2046,mean,32120015057.004562
2047,mean,32777839537.330368
2048,mean,33460339332.000153
2049,mean,34169783730.911148
2050,mean,34906549642.028694
2051,mean,35672248821.2409
2052,mean,36468678235.1061
2053,mean,37297049371.243324
2054,mean,38159137321.25671
2055,mean,39056367515.65185
2056,mean,39990571737.891495
2057,mean,40963366315.68201
2058,mean,41976996180.70393
2059,mean,43034024446.86297
2060,mean,44136585988.49519
2061,mean,45286600647.74315
2062,mean,46487172087.34662
2063,mean,47741114843.375275
2064,mean,49050617371.060005
2014,q90,19763625725
2015,q90,19985401999.66127
2016,q90,20220057905.676952
2017,q90,20469295239.060005
2018,q90,20732973524.79309
2019,q90,21011908594.29795
2020,q90,21307696420.10467
2021,q90,21618178624.817585
2022,q90,21945512405.093853
2023,q90,22292921856.529903
2024,q90,22656803089.587532
2025,q90,23038027363.366318
2026,q90,23443810272.835587
2027,q90,23871255415.28588
2028,q90,24312443000.380188
2029,q90,24779739047.784245
2030,q90,25264652248.348705
2031,q90,25780413949.55317
2032,q90,26320222423.041534
2033,q90,26871261826.741486
2034,q90,27465222795.521496
2035,q90,28090389970.28441
2036,q90,28741109317.532135
2037,q90,29425666102.35373
2038,q90,30143800449.821808
2039,q90,30898706815.411003
2040,q90,31690655060.145447
2041,q90,32517168147.152016
2042,q90,33384825711.32103
2043,q90,34294407139.81413
2044,q90,35242732819.13823
2045,q90,36236596666.09183
2046,q90,37276545010.22977
2047,q90,38378635270.02996
2048,q90,39531438513.5939
2049,q90,40749970275.55723
2050,q90,42022871143.15184
2051,q90,43363796989.18577
2052,q90,44763226895.29396
2053,q90,46230189346.3778
2054,q90,47785284007.96752
2055,q90,49414323220.57301
2056,q90,51123533765.54888
2057,q90,52922314508.814224
2058,q90,54823542646.82253
2059,q90,56824582920.17968
2060,q90,58929281481.43473
2061,q90,61148564296.02781
2062,q90,63480472300.857094
2063,q90,65943684727.18301
2064,q90,68523711640.568565
2014,q10,19763625725
2015,q10,19970746621.421635
2016,q10,20182689901.57648
2017,q10,20395210842.85733
2018,q10,20610134871.43633
2019,q10,20826156184.520725
2020,q10,21045659702.56174
2021,q10,21264008600.83246
2022,q10,21487712491.488598
2023,q10,21715391995.059944
2024,q10,21942433323.75554
2025,q10,22172884450.986355
2026,q10,22400984713.981934
2027,q10,22634117134.84795
2028,q10,22867354634.68315
2029,q10,23104283513.654575
2030,q10,23341607208.41282
2031,q10,23583280675.97063
2032,q10,23822976065.83207
2033,q10,24070435915.466667
2034,q10,24316391563.85805
2035,q10,24564859652.536633
2036,q10,24815731268.47308
2037,q10,25064208030.467323
2038,q10,25319527564.335644
2039,q10,25578081699.714504
2040,q10,25831656326.311848
2041,q10,26096578326.51315
2042,q10,26352734033.86837
2043,q10,26609562302.97578
2044,q10,26874951071.44526
2045,q10,27149326180.033752
2046,q10,27426089646.782204
2047,q10,27701871154.504684
2048,q10,27972394406.16874
2049,q10,28249383004.724976
2050,q10,28535439673.15233
2051,q10,28821811524.702282
2052,q10,29108813165.808437
2053,q10,29397721057.003338
2054,q10,29688479492.394314
2055,q10,29981020415.118
2056,q10,30277035860.7001
2057,q10,30575176243.673668
2058,q10,30875892351.04929
2059,q10,31173094222.659695
2060,q10,31476949132.74213
2061,q10,31784952588.564095
2062,q10,32091591168.91754
2063,q10,32395234858.56417
2064,q10,32704280239.83748
2014,q975,19763625725
2015,q975,19988945911.836708
2016,q975,20230347475.763954
2017,q975,20489827959.4172
2018,q975,20767469558.508476
2019,q975,21065141951.484383
2020,q975,21383410508.034756
2021,q975,21718823933.758644
2022,q975,22079374041.70424
2023,q975,22463423693.61686
2024,q975,22861923695.940636
2025,q975,23294788700.369354
2026,q975,23752228695.920197
2027,q975,24228898427.089447
2028,q975,24735279868.669262
2029,q975,25275939511.250877
2030,q975,25843049190.256218
2031,q975,26446560363.195152
2032,q975,27080572988.882195
2033,q975,27747385083.495113
2034,q975,28453054359.20347
2035,q975,29196456665.199974
2036,q975,29980874973.571198
2037,q975,30809850253.725586
2038,q975,31685077641.174343
2039,q975,32605623900.70291
2040,q975,33580459610.81913
2041,q975,34609243057.10954
2042,q975,35689902686.167114
2043,q975,36834340706.262726
2044,q975,38038187514.05568
2045,q975,39315606342.657684
2046,q975,40662912864.51372
2047,q975,42088945453.9774
2048,q975,43594665908.28877
2049,q975,45187488891.71887
2050,q975,46868587759.39053
2051,q975,48640031498.8354
2052,q975,50523776295.932335
2053,q975,52513177681.998566
2054,q975,54620676512.1245
2055,q975,56856668206.23935
2056,q975,59228102232.816345
