years,sim_number,value
2014,mean,35960454585
2015,mean,36284989710.757355
2016,mean,36603827212.81431
2017,mean,36910197916.82504
2018,mean,37209984795.5905
2019,mean,37499641262.25015
2020,mean,37779974740.586
2021,mean,38045268018.7251
2022,mean,38306248282.545395
2023,mean,38559248855.09019
2024,mean,38800418317.82215
2025,mean,39036912983.876274
2026,mean,39266665577.20692
2027,mean,39487157916.0338
2028,mean,39702972997.797424
2029,mean,39917884381.145645
2030,mean,40127373722.505165
2031,mean,40334206997.32178
2032,mean,40532949637.59554
2033,mean,40728755377.77805
2034,mean,40919605707.50507
2035,mean,41100042086.32851
2036,mean,41280711937.11592
2037,mean,41451590773.20136
2038,mean,41618458082.6689
2039,mean,41778161916.34505
2040,mean,41935503013.32979
2041,mean,42088853869.17965
2042,mean,42238710373.63904
2043,mean,42389242893.774826
2044,mean,42538905963.73398
2045,mean,42682876284.23808
2046,mean,42824828769.97082
2047,mean,42967388580.43652
2048,mean,43104171615.537674
2049,mean,43240841650.74998
2050,mean,43371859780.61205
2051,mean,43499921898.661606
2052,mean,43623737590.99432
2053,mean,43743657371.274315
2054,mean,43855134701.84414
2055,mean,43962603570.48696
2056,mean,44066841587.83258
2057,mean,44164397050.453835
2058,mean,44255353077.0858
2059,mean,44342417755.36939
2060,mean,44421450820.35843
2061,mean,44494895783.91161
2062,mean,44564795764.41054
2063,mean,44628067300.72749
2064,mean,44685259452.723404
2014,q90,35960454585
2015,q90,36318561008.01458
2016,q90,36671782581.498924
2017,q90,37020635076.590935
2018,q90,37361818938.99182
2019,q90,37696174158.51711
2020,q90,38023702744.47693
2021,q90,38346433007.70906
2022,q90,38661644957.66622
2023,q90,38980763413.4598
2024,q90,39300997776.40411
2025,q90,39639783430.64106
2026,q90,39957097264.871735
2027,q90,40282027140.402054
2028,q90,40616050951.69998
2029,q90,40959791045.93846
2030,q90,41321265442.47846
2031,q90,41652106922.73543
2032,q90,41975663048.66537
2033,q90,42346277593.62966
2034,q90,42708402469.95415
2035,q90,43096894522.773445
2036,q90,43416951138.28229
2037,q90,43822720661.71807
2038,q90,44197482285.29897
2039,q90,44556061899.02132
2040,q90,44924623065.7091
2041,q90,45239026258.85564
2042,q90,45597392301.32885
2043,q90,45977290684.202965
2044,q90,46388223234.02051
2045,q90,46802059880.28044
2046,q90,47197207511.21969
2047,q90,47688149755.23648
2048,q90,48067696811.456505
2049,q90,48530850222.51957
2050,q90,48990248724.03451
2051,q90,49472131980.7686
2052,q90,50019572939.453094
2053,q90,50426396633.30812
2054,q90,50935337657.137634
2055,q90,51382733081.93721
2056,q90,51921425503.18854
2057,q90,52369115453.14877
2058,q90,52920054940.181854
2059,q90,53385742698.26662
2060,q90,53888870702.95047
2061,q90,54416876493.33052
2062,q90,55022624024.60765
2063,q90,55565220667.943565
2064,q90,56122172150.360634
2014,q10,35960454585
2015,q10,36192015970.50766
2016,q10,36451555064.922264
2017,q10,36712940367.516624
2018,q10,36980426090.31514
2019,q10,37245269856.64642
2020,q10,37494484243.78597
2021,q10,37729443934.05725
2022,q10,37939802958.874695
2023,q10,38128520918.55811
2024,q10,38292173821.63661
2025,q10,38456382828.83719
2026,q10,38579465831.77514
2027,q10,38694042467.21364
2028,q10,38801376000.64802
2029,q10,38878418916.05709
2030,q10,38966066932.73349
2031,q10,39030725220.64245
2032,q10,39077719916.57316
2033,q10,39099780436.22658
2034,q10,39115138805.958046
2035,q10,39114318485.98305
2036,q10,39085182128.98866
2037,q10,39065079586.298454
2038,q10,39047602497.369064
2039,q10,38995593760.600204
2040,q10,38964175727.24362
2041,q10,38931148578.72652
2042,q10,38874393786.38409
2043,q10,38815427648.90573
2044,q10,38740201421.032234
2045,q10,38689824367.40707
2046,q10,38616423136.25208
2047,q10,38559837978.716354
2048,q10,38463487996.18285
2049,q10,38334636490.82834
2050,q10,38200581203.95534
2051,q10,38007169536.071304
2052,q10,37840414499.8767
2053,q10,37628461376.17992
2054,q10,37387053929.49512
2055,q10,37095870543.34081
2056,q10,36806484947.669815
2057,q10,36577055030.96099
2058,q10,36319626709.83622
2059,q10,36054749407.75776
2060,q10,35811695048.20142
2061,q10,35474990859.627914
2062,q10,35176744162.05263
2063,q10,34841885751.021545
2064,q10,34486599543.53685
2014,q975,35960454585
2015,q975,36322765641.10316
2016,q975,36683901878.29661
2017,q975,37044051234.637314
2018,q975,37405428948.70056
2019,q975,37766554750.81917
2020,q975,38125601338.0897
2021,q975,38487856315.55014
2022,q975,38843961643.39984
2023,q975,39207023315.34348
2024,q975,39562150686.39966
2025,q975,39926859365.74234
2026,q975,40321956256.17737
2027,q975,40714522784.38966
2028,q975,41122534313.25232
2029,q975,41529635306.531235
2030,q975,41947670986.90903
2031,q975,42379772160.54116
2032,q975,42820089319.64754
2033,q975,43284825481.257195
2034,q975,43747099524.017334
2035,q975,44150620044.34584
2036,q975,44645508894.26294
2037,q975,45140074822.25975
2038,q975,45605065093.15108
2039,q975,46116075970.272675
2040,q975,46659901856.54785
2041,q975,47149328063.08606
2042,q975,47661334251.2852
2043,q975,48329548647.26415
2044,q975,48977304983.647705
2045,q975,49574260367.14364
2046,q975,50165972299.87766
2047,q975,50802727561.67078
2048,q975,51486172562.28876
2049,q975,52212758664.70186
2050,q975,52923465569.91649
2051,q975,53646382500.49953
2052,q975,54481829520.59598
2053,q975,55205204746.62228
2054,q975,55795150950.68976
2055,q975,56705312100.83011
2056,q975,57662968619.4863
2057,q975,58705610442.668884
2058,q975,59576889175.96648
2059,q975,60486875838.99672
2060,q975,61432483475.4863
2061,q975,62398544179.62906
2062,q975,63401691682.0384
2063,q975,64432626441.62964
2064,q975,65492297931.85706
2014,q025,35960454585
2015,q025,36036523113.86139
2016,q025,36320911106.39933
2017,q025,36558842380.402145
2018,q025,36812298563.20828
